Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
VT25_10, VT25_10_RCA, 300, 0.02, -20.25, 0.001789, 0.0002273, 7.871, NA
VT25_11, VT25_11_Sylvania, 300, 0.02, -19.19, 0.001904, 0.0002382, 7.992, NA
VT25_12, VT25_12, 300, 0.02, -18.18, 0.002036, 0.0002433, 8.37, NA
VT25_1, VT25_1, 300, 0.02, -19.72, 0.002166, 0.0002566, 8.441, NA
VT25_2, VT25_2_WE, 300, 0.02, -19.43, 0.002284, 0.0002553, 8.948, NA
VT25_3, VT25_3_WE, 300, 0.02, -20.02, 0.00223, 0.0002696, 8.272, NA
VT25_4, VT25_4, 300, 0.02, -18.01, 0.002309, 0.0002605, 8.865, NA
VT25_5, VT25_5_nobranding, 300, 0.02, -18.42, 0.001861, 0.000221, 8.42, NA
VT25_6, VT25_6_Sylvania, 300, 0.02, -18.7, 0.001872, 0.0002356, 7.948, NA
VT25_7, VT25_7_Sylvania, 300, 0.02, -16.3, 0.001618, 0.0001884, 8.591, NA
VT25_8, VT25_8_Hytron, 300, 0.02, -19.91, 0.001818, 0.0002149, 8.461, NA
VT25_9, VT25_9_RCA, 300, 0.02, -17.57, 0.001859, 0.0002079, 8.942, NA
