Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Ib (A-RMS), delta-Ib mean subtracted (A-RMS)
2SA872_1, 2SA872_1, 2SA872_10, 2SA872_10, -12, 0, -0.01, -0.001, 5.963e-07, 3.707e-07
2SA872_1, 2SA872_1, 2SA872_2, 2SA872_2, -12, 0, -0.01, -0.001, 3.691e-07, 3.684e-07
2SA872_1, 2SA872_1, 2SA872_3, 2SA872_3, -12, 0, -0.01, -0.001, 7.835e-07, 6.845e-07
2SA872_1, 2SA872_1, 2SA872_4, 2SA872_4, -12, 0, -0.01, -0.001, 7.455e-07, 6.268e-07
2SA872_1, 2SA872_1, 2SA872_5, 2SA872_5, -12, 0, -0.01, -0.001, 6.759e-07, 6.645e-07
2SA872_1, 2SA872_1, 2SA872_6, 2SA872_6, -12, 0, -0.01, -0.001, 5.58e-07, 4.505e-07
2SA872_1, 2SA872_1, 2SA872_7, 2SA872_7, -12, 0, -0.01, -0.001, 9.797e-07, 7.646e-07
2SA872_1, 2SA872_1, 2SA872_8, 2SA872_8, -12, 0, -0.01, -0.001, 4.948e-07, 4.086e-07
2SA872_1, 2SA872_1, 2SA872_9, 2SA872_9, -12, 0, -0.01, -0.001, 4.53e-07, 4.375e-07
2SA872_10, 2SA872_10, 2SA872_2, 2SA872_2, -12, 0, -0.01, -0.001, 5.705e-07, 3.419e-07
2SA872_10, 2SA872_10, 2SA872_3, 2SA872_3, -12, 0, -0.01, -0.001, 6.02e-07, 5.927e-07
2SA872_10, 2SA872_10, 2SA872_4, 2SA872_4, -12, 0, -0.01, -0.001, 1.1e-06, 6.875e-07
2SA872_10, 2SA872_10, 2SA872_5, 2SA872_5, -12, 0, -0.01, -0.001, 8.688e-07, 6.222e-07
2SA872_10, 2SA872_10, 2SA872_6, 2SA872_6, -12, 0, -0.01, -0.001, 5.065e-07, 4.864e-07
2SA872_10, 2SA872_10, 2SA872_7, 2SA872_7, -12, 0, -0.01, -0.001, 6.685e-07, 6.505e-07
2SA872_10, 2SA872_10, 2SA872_8, 2SA872_8, -12, 0, -0.01, -0.001, 3.481e-07, 2.863e-07
2SA872_10, 2SA872_10, 2SA872_9, 2SA872_9, -12, 0, -0.01, -0.001, 7.511e-07, 4.81e-07
2SA872_2, 2SA872_2, 2SA872_3, 2SA872_3, -12, 0, -0.01, -0.001, 6.535e-07, 5.451e-07
2SA872_2, 2SA872_2, 2SA872_4, 2SA872_4, -12, 0, -0.01, -0.001, 6.806e-07, 5.411e-07
2SA872_2, 2SA872_2, 2SA872_5, 2SA872_5, -12, 0, -0.01, -0.001, 5.167e-07, 4.937e-07
2SA872_2, 2SA872_2, 2SA872_6, 2SA872_6, -12, 0, -0.01, -0.001, 4.932e-07, 3.74e-07
2SA872_2, 2SA872_2, 2SA872_7, 2SA872_7, -12, 0, -0.01, -0.001, 8.84e-07, 6.274e-07
2SA872_2, 2SA872_2, 2SA872_8, 2SA872_8, -12, 0, -0.01, -0.001, 3.965e-07, 3e-07
2SA872_2, 2SA872_2, 2SA872_9, 2SA872_9, -12, 0, -0.01, -0.001, 4.202e-07, 3.983e-07
2SA872_3, 2SA872_3, 2SA872_4, 2SA872_4, -12, 0, -0.01, -0.001, 9.394e-07, 5.58e-07
2SA872_3, 2SA872_3, 2SA872_5, 2SA872_5, -12, 0, -0.01, -0.001, 6.639e-07, 4.342e-07
2SA872_3, 2SA872_3, 2SA872_6, 2SA872_6, -12, 0, -0.01, -0.001, 6.063e-07, 6.042e-07
2SA872_3, 2SA872_3, 2SA872_7, 2SA872_7, -12, 0, -0.01, -0.001, 4.832e-07, 4.068e-07
2SA872_3, 2SA872_3, 2SA872_8, 2SA872_8, -12, 0, -0.01, -0.001, 4.846e-07, 4.736e-07
2SA872_3, 2SA872_3, 2SA872_9, 2SA872_9, -12, 0, -0.01, -0.001, 8.466e-07, 7.044e-07
2SA872_4, 2SA872_4, 2SA872_5, 2SA872_5, -12, 0, -0.01, -0.001, 4.937e-07, 4.228e-07
2SA872_4, 2SA872_4, 2SA872_6, 2SA872_6, -12, 0, -0.01, -0.001, 9.257e-07, 5.922e-07
2SA872_4, 2SA872_4, 2SA872_7, 2SA872_7, -12, 0, -0.01, -0.001, 1.173e-06, 5.862e-07
2SA872_4, 2SA872_4, 2SA872_8, 2SA872_8, -12, 0, -0.01, -0.001, 8.955e-07, 6.082e-07
2SA872_4, 2SA872_4, 2SA872_9, 2SA872_9, -12, 0, -0.01, -0.001, 6.523e-07, 5.871e-07
2SA872_5, 2SA872_5, 2SA872_6, 2SA872_6, -12, 0, -0.01, -0.001, 6.938e-07, 5.187e-07
2SA872_5, 2SA872_5, 2SA872_7, 2SA872_7, -12, 0, -0.01, -0.001, 8.907e-07, 4.587e-07
2SA872_5, 2SA872_5, 2SA872_8, 2SA872_8, -12, 0, -0.01, -0.001, 6.694e-07, 5.295e-07
2SA872_5, 2SA872_5, 2SA872_9, 2SA872_9, -12, 0, -0.01, -0.001, 5.997e-07, 5.995e-07
2SA872_6, 2SA872_6, 2SA872_7, 2SA872_7, -12, 0, -0.01, -0.001, 6.67e-07, 5.917e-07
2SA872_6, 2SA872_6, 2SA872_8, 2SA872_8, -12, 0, -0.01, -0.001, 3.453e-07, 3.414e-07
2SA872_6, 2SA872_6, 2SA872_9, 2SA872_9, -12, 0, -0.01, -0.001, 6.43e-07, 4.689e-07
2SA872_7, 2SA872_7, 2SA872_8, 2SA872_8, -12, 0, -0.01, -0.001, 6.505e-07, 5.39e-07
2SA872_7, 2SA872_7, 2SA872_9, 2SA872_9, -12, 0, -0.01, -0.001, 1.031e-06, 7.246e-07
2SA872_8, 2SA872_8, 2SA872_9, 2SA872_9, -12, 0, -0.01, -0.001, 6.276e-07, 4.933e-07
