Filename, Sample, U1 (V), I1 (A), Ib (A), hfe (A/A), go (A/V), ro (V/A), T (°C)
2SA872_10, 2SA872_10, -8, -0.005, -1.24e-05, 376.9, 7.736e-05, 4.872e+06, NA
2SA872_1, 2SA872_1, -8, -0.005, -1.201e-05, 374.5, 0.000191, 1.961e+06, NA
2SA872_2, 2SA872_2, -8, -0.005, -1.183e-05, 357, 5.136e-05, 6.951e+06, NA
2SA872_3, 2SA872_3, -8, -0.005, -1.229e-05, 377.9, 9.971e-05, 3.79e+06, NA
2SA872_4, 2SA872_4, -8, -0.005, -1.221e-05, 407.4, -2.001e-06, -2.036e+08, NA
2SA872_5, 2SA872_5, -8, -0.005, -1.175e-05, 421.6, 0.0002108, 2e+06, NA
2SA872_6, 2SA872_6, -8, -0.005, -1.224e-05, 428.4, 0.0002601, 1.647e+06, NA
2SA872_7, 2SA872_7, -8, -0.005, -1.281e-05, 361.4, 0.0001147, 3.15e+06, NA
2SA872_8, 2SA872_8, -8, -0.005, -1.217e-05, 375.5, -5.825e-05, -6.447e+06, NA
2SA872_9, 2SA872_9, -8, -0.005, -1.169e-05, 380.9, 0.0002003, 1.902e+06, NA
