Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Ib (A-RMS), delta-Ib mean subtracted (A-RMS)
2SB716_1, 2SB716_1, 2SB716_10, 2SB716_10, -12, 0, -0.01, -0.001, 2.842e-07, 2.808e-07
2SB716_1, 2SB716_1, 2SB716_11, 2SB716_11, -12, 0, -0.01, -0.001, 5.286e-07, 4.489e-07
2SB716_1, 2SB716_1, 2SB716_12, 2SB716_12, -12, 0, -0.01, -0.001, 2.795e-07, 2.243e-07
2SB716_1, 2SB716_1, 2SB716_13, 2SB716_13, -12, 0, -0.01, -0.001, 4.409e-07, 4.243e-07
2SB716_1, 2SB716_1, 2SB716_14, 2SB716_14, -12, 0, -0.01, -0.001, 5.323e-07, 5.182e-07
2SB716_1, 2SB716_1, 2SB716_15, 2SB716_15, -12, 0, -0.01, -0.001, 5.219e-07, 4.072e-07
2SB716_1, 2SB716_1, 2SB716_16, 2SB716_16, -12, 0, -0.01, -0.001, 4.768e-07, 3.24e-07
2SB716_1, 2SB716_1, 2SB716_17, 2SB716_17, -12, 0, -0.01, -0.001, 6.178e-07, 5.065e-07
2SB716_1, 2SB716_1, 2SB716_18, 2SB716_18, -12, 0, -0.01, -0.001, 4.092e-07, 4.091e-07
2SB716_1, 2SB716_1, 2SB716_19, 2SB716_19, -12, 0, -0.01, -0.001, 5.028e-07, 4.563e-07
2SB716_1, 2SB716_1, 2SB716_2, 2SB716_2, -12, 0, -0.01, -0.001, 5.488e-07, 4.229e-07
2SB716_1, 2SB716_1, 2SB716_20, 2SB716_20, -12, 0, -0.01, -0.001, 1.34e-06, 5.25e-07
2SB716_1, 2SB716_1, 2SB716_3, 2SB716_3, -12, 0, -0.01, -0.001, 4.264e-07, 4.264e-07
2SB716_1, 2SB716_1, 2SB716_4, 2SB716_4, -12, 0, -0.01, -0.001, 7.359e-07, 4.48e-07
2SB716_1, 2SB716_1, 2SB716_5, 2SB716_5, -12, 0, -0.01, -0.001, 2.937e-07, 2.162e-07
2SB716_1, 2SB716_1, 2SB716_6, 2SB716_6, -12, 0, -0.01, -0.001, 4.988e-07, 4.665e-07
2SB716_1, 2SB716_1, 2SB716_7, 2SB716_7, -12, 0, -0.01, -0.001, 4.111e-07, 2.479e-07
2SB716_1, 2SB716_1, 2SB716_8, 2SB716_8, -12, 0, -0.01, -0.001, 6.147e-07, 4.032e-07
2SB716_1, 2SB716_1, 2SB716_9, 2SB716_9, -12, 0, -0.01, -0.001, 4.414e-07, 3.497e-07
2SB716_10, 2SB716_10, 2SB716_11, 2SB716_11, -12, 0, -0.01, -0.001, 5.663e-07, 5.121e-07
2SB716_10, 2SB716_10, 2SB716_12, 2SB716_12, -12, 0, -0.01, -0.001, 2.776e-07, 2.531e-07
2SB716_10, 2SB716_10, 2SB716_13, 2SB716_13, -12, 0, -0.01, -0.001, 4.848e-07, 4.79e-07
2SB716_10, 2SB716_10, 2SB716_14, 2SB716_14, -12, 0, -0.01, -0.001, 5.933e-07, 5.685e-07
2SB716_10, 2SB716_10, 2SB716_15, 2SB716_15, -12, 0, -0.01, -0.001, 5.691e-07, 4.988e-07
2SB716_10, 2SB716_10, 2SB716_16, 2SB716_16, -12, 0, -0.01, -0.001, 4.085e-07, 2.771e-07
2SB716_10, 2SB716_10, 2SB716_17, 2SB716_17, -12, 0, -0.01, -0.001, 6.494e-07, 5.232e-07
2SB716_10, 2SB716_10, 2SB716_18, 2SB716_18, -12, 0, -0.01, -0.001, 4.852e-07, 4.841e-07
2SB716_10, 2SB716_10, 2SB716_19, 2SB716_19, -12, 0, -0.01, -0.001, 5.665e-07, 5.417e-07
2SB716_10, 2SB716_10, 2SB716_2, 2SB716_2, -12, 0, -0.01, -0.001, 5.634e-07, 4.825e-07
2SB716_10, 2SB716_10, 2SB716_20, 2SB716_20, -12, 0, -0.01, -0.001, 1.326e-06, 6.11e-07
2SB716_10, 2SB716_10, 2SB716_3, 2SB716_3, -12, 0, -0.01, -0.001, 4.672e-07, 4.647e-07
2SB716_10, 2SB716_10, 2SB716_4, 2SB716_4, -12, 0, -0.01, -0.001, 7.534e-07, 5.222e-07
2SB716_10, 2SB716_10, 2SB716_5, 2SB716_5, -12, 0, -0.01, -0.001, 3.049e-07, 2.717e-07
2SB716_10, 2SB716_10, 2SB716_6, 2SB716_6, -12, 0, -0.01, -0.001, 5.586e-07, 5.43e-07
2SB716_10, 2SB716_10, 2SB716_7, 2SB716_7, -12, 0, -0.01, -0.001, 3.697e-07, 2.453e-07
2SB716_10, 2SB716_10, 2SB716_8, 2SB716_8, -12, 0, -0.01, -0.001, 6.548e-07, 5.051e-07
2SB716_10, 2SB716_10, 2SB716_9, 2SB716_9, -12, 0, -0.01, -0.001, 4.333e-07, 3.095e-07
2SB716_11, 2SB716_11, 2SB716_12, 2SB716_12, -12, 0, -0.01, -0.001, 5.109e-07, 4.977e-07
