Filename, Sample, U1 (V), I1 (A), Ib (A), hfe (A/A), go (A/V), rbe (V/A), T (°C)
2SB716_10, 2SB716_10, -8, -0.005, -1.693e-05, 8.733e+04, -0.01573, -5.551e+06, NA
2SB716_11, 2SB716_11, -8, -0.005, -1.766e-05, 54.05, -0.4997, -108.2, NA
2SB716_12, 2SB716_12, -8, -0.005, -1.723e-05, -1.012e+05, 0.6619, -1.528e+05, NA
2SB716_13, 2SB716_13, -8, -0.005, -1.712e-05, -1.57e+05, -0.2526, 6.215e+05, NA
2SB716_14, 2SB716_14, -8, -0.005, -1.685e-05, 1.061e+05, -0.3076, -3.448e+05, NA
2SB716_15, 2SB716_15, -8, -0.005, -1.776e-05, 613.9, -0.8032, -764.3, NA
2SB716_16, 2SB716_16, -8, -0.005, -1.744e-05, 5.532e+04, 0.007926, 6.979e+06, NA
2SB716_17, 2SB716_17, -8, -0.005, -1.637e-05, -3.965e+04, 0.03401, -1.166e+06, NA
2SB716_18, 2SB716_18, -8, -0.005, -1.701e-05, 4.704e+05, -0.663, -7.094e+05, NA
2SB716_19, 2SB716_19, -8, -0.005, -1.733e-05, -1.01e+05, -0.7977, 1.267e+05, NA
2SB716_1, 2SB716_1, -8, -0.005, -1.704e-05, 1047, 0.1437, 7284, NA
2SB716_20, 2SB716_20, -8, -0.005, -1.87e-05, -4.583e+04, -0.5343, 8.577e+04, NA
2SB716_2, 2SB716_2, -8, -0.005, -1.76e-05, -55.09, -0.2212, 249.1, NA
2SB716_3, 2SB716_3, -8, -0.005, -1.709e-05, -3.907e+04, -0.07925, 4.93e+05, NA
2SB716_4, 2SB716_4, -8, -0.005, -1.781e-05, -8.724e+04, -0.2767, 3.153e+05, NA
2SB716_5, 2SB716_5, -8, -0.005, -1.736e-05, -1543, -0.3157, 4889, NA
2SB716_6, 2SB716_6, -8, -0.005, -1.705e-05, 2.506e+05, 0.3576, 7.008e+05, NA
2SB716_7, 2SB716_7, -8, -0.005, -1.74e-05, -8.795e+04, 0.1212, -7.256e+05, NA
2SB716_8, 2SB716_8, -8, -0.005, -1.791e-05, 9.989e+04, -0.152, -6.572e+05, NA
2SB716_9, 2SB716_9, -8, -0.005, -1.659e-05, -8.33e+04, -0.1029, 8.099e+05, NA
