Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Ib (A-RMS), delta-Ib mean subtracted (A-RMS)
2SC1775_1, 2SC1775_1, 2SC1775_10, 2SC1775_10, 0, 12, 0.001, 0.01, 7.776e-07, 7.622e-07
2SC1775_1, 2SC1775_1, 2SC1775_2, 2SC1775_2, 0, 12, 0.001, 0.01, 9.735e-07, 8.82e-07
2SC1775_1, 2SC1775_1, 2SC1775_3, 2SC1775_3, 0, 12, 0.001, 0.01, 1.587e-06, 1.118e-06
2SC1775_1, 2SC1775_1, 2SC1775_4, 2SC1775_4, 0, 12, 0.001, 0.01, 7.635e-07, 6.545e-07
2SC1775_1, 2SC1775_1, 2SC1775_5, 2SC1775_5, 0, 12, 0.001, 0.01, 7.729e-07, 5.787e-07
2SC1775_1, 2SC1775_1, 2SC1775_6, 2SC1775_6, 0, 12, 0.001, 0.01, 5.357e-07, 3.964e-07
2SC1775_1, 2SC1775_1, 2SC1775_7, 2SC1775_7, 0, 12, 0.001, 0.01, 4.812e-07, 3.482e-07
2SC1775_1, 2SC1775_1, 2SC1775_8, 2SC1775_8, 0, 12, 0.001, 0.01, 6.338e-07, 3.95e-07
2SC1775_1, 2SC1775_1, 2SC1775_9, 2SC1775_9, 0, 12, 0.001, 0.01, 1.193e-06, 9.549e-07
2SC1775_10, 2SC1775_10, 2SC1775_2, 2SC1775_2, 0, 12, 0.001, 0.01, 8.404e-07, 8.004e-07
2SC1775_10, 2SC1775_10, 2SC1775_3, 2SC1775_3, 0, 12, 0.001, 0.01, 1.316e-06, 9.355e-07
2SC1775_10, 2SC1775_10, 2SC1775_4, 2SC1775_4, 0, 12, 0.001, 0.01, 7.423e-07, 6.976e-07
2SC1775_10, 2SC1775_10, 2SC1775_5, 2SC1775_5, 0, 12, 0.001, 0.01, 9.56e-07, 8.918e-07
2SC1775_10, 2SC1775_10, 2SC1775_6, 2SC1775_6, 0, 12, 0.001, 0.01, 9.233e-07, 7.659e-07
2SC1775_10, 2SC1775_10, 2SC1775_7, 2SC1775_7, 0, 12, 0.001, 0.01, 1.002e-06, 8.678e-07
2SC1775_10, 2SC1775_10, 2SC1775_8, 2SC1775_8, 0, 12, 0.001, 0.01, 7.24e-07, 6.408e-07
2SC1775_10, 2SC1775_10, 2SC1775_9, 2SC1775_9, 0, 12, 0.001, 0.01, 1.029e-06, 8.785e-07
2SC1775_2, 2SC1775_2, 2SC1775_3, 2SC1775_3, 0, 12, 0.001, 0.01, 9.281e-07, 5.958e-07
2SC1775_2, 2SC1775_2, 2SC1775_4, 2SC1775_4, 0, 12, 0.001, 0.01, 5.229e-07, 5.229e-07
2SC1775_2, 2SC1775_2, 2SC1775_5, 2SC1775_5, 0, 12, 0.001, 0.01, 7.279e-07, 7.201e-07
2SC1775_2, 2SC1775_2, 2SC1775_6, 2SC1775_6, 0, 12, 0.001, 0.01, 1.067e-06, 7.57e-07
