Filename, Sample, U1 (V), I1 (A), Ib (A), hfe (A/A), go (A/V), ro (V/A), T (°C)
2SC1775_10, 2SC1775_10, 8, 0.005, 9.014e-06, 541.4, -8.204e-05, -6.599e+06, NA
2SC1775_1, 2SC1775_1, 8, 0.005, 9.394e-06, 514, -3.068e-05, -1.675e+07, NA
2SC1775_2, 2SC1775_2, 8, 0.005, 8.833e-06, 546.7, -1.378e-05, -3.966e+07, NA
2SC1775_3, 2SC1775_3, 8, 0.005, 7.993e-06, 626.5, 4.469e-05, 1.402e+07, NA
2SC1775_4, 2SC1775_4, 8, 0.005, 9.051e-06, 549.3, -2.668e-06, -2.059e+08, NA
2SC1775_5, 2SC1775_5, 8, 0.005, 9.171e-06, 541.9, 2.001e-06, 2.708e+08, NA
2SC1775_6, 2SC1775_6, 8, 0.005, 9.7e-06, 505.9, 1e-05, 5.057e+07, NA
2SC1775_7, 2SC1775_7, 8, 0.005, 9.744e-06, 508.3, 3.313e-05, 1.534e+07, NA
2SC1775_8, 2SC1775_8, 8, 0.005, 8.927e-06, 548.6, -7.07e-05, -7.76e+06, NA
2SC1775_9, 2SC1775_9, 8, 0.005, 8.645e-06, 570.4, 5.935e-05, 9.61e+06, NA
