Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Ib (A-RMS), delta-Ib mean subtracted (A-RMS)
2SD756_1, 2SD756_1, 2SD756_10, 2SD756_10, 0, 12, 0.001, 0.01, 5.308e-07, 5.301e-07
2SD756_1, 2SD756_1, 2SD756_11, 2SD756_11, 0, 12, 0.001, 0.01, 6.862e-07, 6.447e-07
2SD756_1, 2SD756_1, 2SD756_12, 2SD756_12, 0, 12, 0.001, 0.01, 9.137e-07, 8.673e-07
2SD756_1, 2SD756_1, 2SD756_13, 2SD756_13, 0, 12, 0.001, 0.01, 1.247e-06, 1.172e-06
2SD756_1, 2SD756_1, 2SD756_14, 2SD756_14, 0, 12, 0.001, 0.01, 1.236e-06, 6.296e-07
2SD756_1, 2SD756_1, 2SD756_15, 2SD756_15, 0, 12, 0.001, 0.01, 6.231e-07, 5.803e-07
2SD756_1, 2SD756_1, 2SD756_16, 2SD756_16, 0, 12, 0.001, 0.01, 1.333e-06, 1.183e-06
2SD756_1, 2SD756_1, 2SD756_17, 2SD756_17, 0, 12, 0.001, 0.01, 7.545e-07, 7.336e-07
2SD756_1, 2SD756_1, 2SD756_18, 2SD756_18, 0, 12, 0.001, 0.01, 6.377e-07, 6.061e-07
2SD756_1, 2SD756_1, 2SD756_19, 2SD756_19, 0, 12, 0.001, 0.01, 1.255e-06, 9.386e-07
2SD756_1, 2SD756_1, 2SD756_2, 2SD756_2, 0, 12, 0.001, 0.01, 7.262e-07, 6.833e-07
2SD756_1, 2SD756_1, 2SD756_20, 2SD756_20, 0, 12, 0.001, 0.01, 4.794e-07, 4.507e-07
2SD756_1, 2SD756_1, 2SD756_21, 2SD756_21, 0, 12, 0.001, 0.01, 5.138e-07, 5.061e-07
2SD756_1, 2SD756_1, 2SD756_3, 2SD756_3, 0, 12, 0.001, 0.01, 9.596e-07, 9.301e-07
2SD756_1, 2SD756_1, 2SD756_4, 2SD756_4, 0, 12, 0.001, 0.01, 6.899e-07, 6.396e-07
2SD756_1, 2SD756_1, 2SD756_5, 2SD756_5, 0, 12, 0.001, 0.01, 1.28e-06, 9.098e-07
2SD756_1, 2SD756_1, 2SD756_6, 2SD756_6, 0, 12, 0.001, 0.01, 5.762e-07, 4.709e-07
2SD756_1, 2SD756_1, 2SD756_7, 2SD756_7, 0, 12, 0.001, 0.01, 9.218e-07, 7.953e-07
2SD756_1, 2SD756_1, 2SD756_8, 2SD756_8, 0, 12, 0.001, 0.01, 4.393e-07, 4.388e-07
2SD756_1, 2SD756_1, 2SD756_9, 2SD756_9, 0, 12, 0.001, 0.01, 7.233e-07, 6.658e-07
2SD756_10, 2SD756_10, 2SD756_11, 2SD756_11, 0, 12, 0.001, 0.01, 6.749e-07, 6.239e-07
2SD756_10, 2SD756_10, 2SD756_12, 2SD756_12, 0, 12, 0.001, 0.01, 1.017e-06, 9.663e-07
2SD756_10, 2SD756_10, 2SD756_13, 2SD756_13, 0, 12, 0.001, 0.01, 1.456e-06, 1.383e-06
2SD756_10, 2SD756_10, 2SD756_14, 2SD756_14, 0, 12, 0.001, 0.01, 1.356e-06, 8.093e-07
2SD756_10, 2SD756_10, 2SD756_15, 2SD756_15, 0, 12, 0.001, 0.01, 5.801e-07, 5.209e-07
2SD756_10, 2SD756_10, 2SD756_16, 2SD756_16, 0, 12, 0.001, 0.01, 1.516e-06, 1.375e-06
2SD756_10, 2SD756_10, 2SD756_17, 2SD756_17, 0, 12, 0.001, 0.01, 6.093e-07, 5.916e-07
2SD756_10, 2SD756_10, 2SD756_18, 2SD756_18, 0, 12, 0.001, 0.01, 3.183e-07, 2.659e-07
2SD756_10, 2SD756_10, 2SD756_19, 2SD756_19, 0, 12, 0.001, 0.01, 1.439e-06, 1.16e-06
2SD756_10, 2SD756_10, 2SD756_2, 2SD756_2, 0, 12, 0.001, 0.01, 5.759e-07, 5.017e-07
2SD756_10, 2SD756_10, 2SD756_20, 2SD756_20, 0, 12, 0.001, 0.01, 5.108e-07, 4.694e-07
2SD756_10, 2SD756_10, 2SD756_21, 2SD756_21, 0, 12, 0.001, 0.01, 7.775e-07, 7.678e-07
2SD756_10, 2SD756_10, 2SD756_3, 2SD756_3, 0, 12, 0.001, 0.01, 1.088e-06, 1.056e-06
2SD756_10, 2SD756_10, 2SD756_4, 2SD756_4, 0, 12, 0.001, 0.01, 5.946e-07, 5.223e-07
2SD756_10, 2SD756_10, 2SD756_5, 2SD756_5, 0, 12, 0.001, 0.01, 1.112e-06, 6.168e-07
2SD756_10, 2SD756_10, 2SD756_6, 2SD756_6, 0, 12, 0.001, 0.01, 6.957e-07, 5.95e-07
2SD756_10, 2SD756_10, 2SD756_7, 2SD756_7, 0, 12, 0.001, 0.01, 7.291e-07, 5.381e-07
2SD756_10, 2SD756_10, 2SD756_8, 2SD756_8, 0, 12, 0.001, 0.01, 5.407e-07, 5.407e-07
2SD756_10, 2SD756_10, 2SD756_9, 2SD756_9, 0, 12, 0.001, 0.01, 8.265e-07, 7.628e-07
2SD756_11, 2SD756_11, 2SD756_12, 2SD756_12, 0, 12, 0.001, 0.01, 4.716e-07, 4.672e-07
2SD756_11, 2SD756_11, 2SD756_13, 2SD756_13, 0, 12, 0.001, 0.01, 9.222e-07, 9.028e-07
2SD756_11, 2SD756_11, 2SD756_14, 2SD756_14, 0, 12, 0.001, 0.01, 9.888e-07, 5.258e-07
2SD756_11, 2SD756_11, 2SD756_15, 2SD756_15, 0, 12, 0.001, 0.01, 3.403e-07, 3.401e-07
2SD756_11, 2SD756_11, 2SD756_16, 2SD756_16, 0, 12, 0.001, 0.01, 9.373e-07, 8.552e-07
2SD756_11, 2SD756_11, 2SD756_17, 2SD756_17, 0, 12, 0.001, 0.01, 5.446e-07, 3.677e-07
2SD756_11, 2SD756_11, 2SD756_18, 2SD756_18, 0, 12, 0.001, 0.01, 7.529e-07, 6.171e-07
2SD756_11, 2SD756_11, 2SD756_19, 2SD756_19, 0, 12, 0.001, 0.01, 9.466e-07, 7.266e-07
