Filename, Sample, U1 (V), I1 (A), Ib (A), hfe (A/A), go (A/V), ro (V/A), T (°C)
2SD756_10, 2SD756_10, 8, 0.005, 1.386e-05, 7007, -0.02248, -3.116e+05, NA
2SD756_11, 2SD756_11, 8, 0.005, 1.369e-05, -1.525e+04, 0.0947, -1.61e+05, NA
2SD756_12, 2SD756_12, 8, 0.005, 1.374e-05, -1.88e+04, -0.06755, 2.783e+05, NA
2SD756_13, 2SD756_13, 8, 0.005, 1.371e-05, 1.012e+04, -0.01386, -7.304e+05, NA
2SD756_14, 2SD756_14, 8, 0.005, 1.269e-05, 2.103e+04, 0.03163, 6.65e+05, NA
2SD756_15, 2SD756_15, 8, 0.005, 1.38e-05, -1.645e+04, -0.1107, 1.486e+05, NA
2SD756_16, 2SD756_16, 8, 0.005, 1.35e-05, 3876, -0.01568, -2.472e+05, NA
2SD756_17, 2SD756_17, 8, 0.005, 1.432e-05, 1.364e+04, -0.05691, -2.396e+05, NA
2SD756_18, 2SD756_18, 8, 0.005, 1.422e-05, 2.741e+04, 0.02189, 1.252e+06, NA
2SD756_19, 2SD756_19, 8, 0.005, 1.307e-05, -5889, -0.0384, 1.534e+05, NA
2SD756_1, 2SD756_1, 8, 0.005, 1.378e-05, -6443, -0.001822, 3.537e+06, NA
2SD756_20, 2SD756_20, 8, 0.005, 1.375e-05, 2.854e+04, -0.03334, -8.56e+05, NA
2SD756_21, 2SD756_21, 8, 0.005, 1.386e-05, 9127, -0.005274, -1.731e+06, NA
2SD756_2, 2SD756_2, 8, 0.005, 1.371e-05, 2.843e+04, -0.1007, -2.823e+05, NA
2SD756_3, 2SD756_3, 8, 0.005, 1.379e-05, 6439, -0.1203, -5.352e+04, NA
2SD756_4, 2SD756_4, 8, 0.005, 1.372e-05, 2.964e+04, -0.007907, -3.749e+06, NA
2SD756_5, 2SD756_5, 8, 0.005, 1.292e-05, -6378, 0.03198, -1.995e+05, NA
2SD756_6, 2SD756_6, 8, 0.005, 1.358e-05, -2.635e+04, -0.006271, 4.202e+06, NA
2SD756_7, 2SD756_7, 8, 0.005, 1.345e-05, -1.829e+04, -0.07508, 2.436e+05, NA
2SD756_8, 2SD756_8, 8, 0.005, 1.397e-05, 2565, -0.06661, -3.85e+04, NA
2SD756_9, 2SD756_9, 8, 0.005, 1.376e-05, 1.792e+04, 0.06523, 2.747e+05, NA
