Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
2SJ28_1, 2SJ28_1, 2SJ28_10, 2SJ28_10, -45, -5, -2.5, -0.2, 3.045, 0.7882
2SJ28_1, 2SJ28_1, 2SJ28_11, 2SJ28_11, -45, -5, -2.5, -0.2, 2.146, 1.049
2SJ28_1, 2SJ28_1, 2SJ28_12, 2SJ28_12, -45, -5, -2.5, -0.2, 3.361, 0.8464
2SJ28_1, 2SJ28_1, 2SJ28_13, 2SJ28_13, -45, -5, -2.5, -0.2, 1.531, 1.48
2SJ28_1, 2SJ28_1, 2SJ28_14, 2SJ28_14, -45, -5, -2.5, -0.2, 0.1656, 0.09506
2SJ28_1, 2SJ28_1, 2SJ28_15, 2SJ28_15, -45, -5, -2.5, -0.2, 2.967, 0.9163
2SJ28_1, 2SJ28_1, 2SJ28_16, 2SJ28_16, -45, -5, -2.5, -0.2, 1.144, 1.139
2SJ28_1, 2SJ28_1, 2SJ28_17, 2SJ28_17, -45, -5, -2.5, -0.2, 1.354, 1.338
2SJ28_1, 2SJ28_1, 2SJ28_18, 2SJ28_18, -45, -5, -2.5, -0.2, 1.442, 1.442
2SJ28_1, 2SJ28_1, 2SJ28_19, 2SJ28_19, -45, -5, -2.5, -0.2, 2.967, 0.7849
2SJ28_1, 2SJ28_1, 2SJ28_2, 2SJ28_2, -45, -5, -2.5, -0.2, 1.204, 0.2498
2SJ28_1, 2SJ28_1, 2SJ28_20, 2SJ28_20, -45, -5, -2.5, -0.2, 1.777, 0.8599
2SJ28_1, 2SJ28_1, 2SJ28_21, 2SJ28_21, -45, -5, -2.5, -0.2, 1.348, 0.2494
2SJ28_1, 2SJ28_1, 2SJ28_22, 2SJ28_22, -45, -5, -2.5, -0.2, 2.432, 0.4945
2SJ28_1, 2SJ28_1, 2SJ28_3, 2SJ28_3, -45, -5, -2.5, -0.2, 1.985, 0.4483
2SJ28_1, 2SJ28_1, 2SJ28_4, 2SJ28_4, -45, -5, -2.5, -0.2, 0.5836, 0.2286
2SJ28_1, 2SJ28_1, 2SJ28_5, 2SJ28_5, -45, -5, -2.5, -0.2, 1.841, 0.7542
2SJ28_1, 2SJ28_1, 2SJ28_6, 2SJ28_6, -45, -5, -2.5, -0.2, 0.3278, 0.2162
2SJ28_1, 2SJ28_1, 2SJ28_7, 2SJ28_7, -45, -5, -2.5, -0.2, 0.6884, 0.1305
2SJ28_1, 2SJ28_1, 2SJ28_8, 2SJ28_8, -45, -5, -2.5, -0.2, 2.126, 0.6385
2SJ28_1, 2SJ28_1, 2SJ28_9, 2SJ28_9, -45, -5, -2.5, -0.2, 2.423, 0.4344
2SJ28_10, 2SJ28_10, 2SJ28_11, 2SJ28_11, -45, -5, -2.5, -0.2, 1.876, 1.518
2SJ28_10, 2SJ28_10, 2SJ28_12, 2SJ28_12, -45, -5, -2.5, -0.2, 0.3436, 0.1434
2SJ28_10, 2SJ28_10, 2SJ28_13, 2SJ28_13, -45, -5, -2.5, -0.2, 3.893, 2.058
2SJ28_10, 2SJ28_10, 2SJ28_14, 2SJ28_14, -45, -5, -2.5, -0.2, 3.17, 0.7485
2SJ28_10, 2SJ28_10, 2SJ28_15, 2SJ28_15, -45, -5, -2.5, -0.2, 1.334, 1.324
2SJ28_10, 2SJ28_10, 2SJ28_16, 2SJ28_16, -45, -5, -2.5, -0.2, 3.503, 1.743
2SJ28_10, 2SJ28_10, 2SJ28_17, 2SJ28_17, -45, -5, -2.5, -0.2, 3.686, 1.927
2SJ28_10, 2SJ28_10, 2SJ28_18, 2SJ28_18, -45, -5, -2.5, -0.2, 3.579, 2.023
2SJ28_10, 2SJ28_10, 2SJ28_19, 2SJ28_19, -45, -5, -2.5, -0.2, 1.193, 1.187
2SJ28_10, 2SJ28_10, 2SJ28_2, 2SJ28_2, -45, -5, -2.5, -0.2, 4.24, 1.032
2SJ28_10, 2SJ28_10, 2SJ28_20, 2SJ28_20, -45, -5, -2.5, -0.2, 1.909, 1.295
2SJ28_10, 2SJ28_10, 2SJ28_21, 2SJ28_21, -45, -5, -2.5, -0.2, 1.734, 0.5953
2SJ28_10, 2SJ28_10, 2SJ28_22, 2SJ28_22, -45, -5, -2.5, -0.2, 0.6598, 0.3254
2SJ28_10, 2SJ28_10, 2SJ28_3, 2SJ28_3, -45, -5, -2.5, -0.2, 1.071, 0.3539
2SJ28_10, 2SJ28_10, 2SJ28_4, 2SJ28_4, -45, -5, -2.5, -0.2, 2.474, 0.5787
2SJ28_10, 2SJ28_10, 2SJ28_5, 2SJ28_5, -45, -5, -2.5, -0.2, 1.426, 0.6514
