Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
2SJ28_10, 2SJ28_10, -20, -1.6, 4.954, 0.6298, 0.06534, 9.64, 50
2SJ28_11, 2SJ28_11, -20, -1.6, 5.285, 0.2783, 0.04773, 5.83, 49.94
2SJ28_12, 2SJ28_12, -20, -1.6, 4.65, 0.6115, 0.06377, 9.588, 49.94
2SJ28_13NA, 2SJ28_13, -20, -1.6, 7.379, 0.2444, 0.05488, 4.454, 50.06
2SJ28_14, 2SJ28_14, -20, -1.6, 7.763, 0.4943, 0.08401, 5.883, 50.06
2SJ28_15NAbb, 2SJ28_15, -20, -1.6, 4.354, 0.287, 0.04708, 6.096, 50.06
2SJ28_16, 2SJ28_16, -20, -1.6, 7.22, 0.2787, 0.05623, 4.956, 50.06
2SJ28_17, 2SJ28_17, -20, -1.6, 7.243, 0.2573, 0.05557, 4.63, 49.81
2SJ28_18NA, 2SJ28_18, -20, -1.6, 7, 0.2448, 0.0533, 4.594, 50.06
2SJ28_19NAbb, 2SJ28_19, -20, -1.6, 4.4, 0.3088, 0.04996, 6.18, 50.06
2SJ28_1NA, 2SJ28_1, -20, -1.6, 7.601, 0.5215, 0.09025, 5.778, 50.12
2SJ28_20, 2SJ28_20, -20, -1.6, 5.78, 0.3053, 0.04814, 6.341, 50.12
2SJ28_21, 2SJ28_21, -20, -1.6, 6.34, 0.4765, 0.07763, 6.139, 50.12
2SJ28_22, 2SJ28_22, -20, -1.6, 5.403, 0.5472, 0.07181, 7.62, 50.12
2SJ28_23NAbb, 2SJ28_23, -20, -1.6, 6.881, 0.5153, 0.0788, 6.539, 49.88
2SJ28_24NAbb, 2SJ28_24, -20, -1.6, 6.911, 0.5123, 0.07902, 6.482, 50.25
2SJ28_25, 2SJ28_25, -20, -1.6, 8.494, 0.4388, 0.08165, 5.375, 50.25
2SJ28_26, 2SJ28_26, -20, -1.6, 5.079, 0.592, 0.06427, 9.212, 50.31
2SJ28_2, 2SJ28_2, -20, -1.6, 8.714, 0.4675, 0.09825, 4.758, 50.06
2SJ28_3, 2SJ28_3, -20, -1.6, 5.834, 0.6135, 0.08325, 7.369, 50
2SJ28_4, 2SJ28_4, -20, -1.6, 7.182, 0.5575, 0.08725, 6.39, 50.06
2SJ28_5, 2SJ28_5, -20, -1.6, 5.938, 0.5765, 0.08075, 7.139, 50.31
2SJ28_6NA, 2SJ28_6, -20, -1.6, 7.841, 0.5345, 0.0895, 5.972, 50.12
2SJ28_7, 2SJ28_7, -20, -1.6, 8.262, 0.474, 0.075, 6.32, 50.12
2SJ28_8, 2SJ28_8, -20, -1.6, 5.707, 0.594, 0.07775, 7.64, 50.06
2SJ28_9, 2SJ28_9, -20, -1.6, 9.824, 0.443, 0.0905, 4.895, 50.19
