Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
2SK82_10, 2SK82_10, 20, 1.6, -5.992, 0.2787, 0.06307, 4.419, 50.31
2SK82_11NA, 2SK82_11, 20, 1.6, -5.542, 0.2529, 0.05269, 4.801, 50.44
2SK82_12, 2SK82_12, 20, 1.6, -6.6, 0.4964, 0.09463, 5.246, 50.19
2SK82_13, 2SK82_13, 20, 1.6, -4.172, 0.2958, 0.05896, 5.018, 50.5
2SK82_14, 2SK82_14, 20, 1.6, -7.356, 0.2916, 0.06042, 4.826, 50.38
2SK82_15, 2SK82_15, 20, 1.6, -5.697, 0.2776, 0.05973, 4.648, 50.19
2SK82_16, 2SK82_16, 20, 1.6, -6.173, 0.2624, 0.06292, 4.171, 50.44
2SK82_17, 2SK82_17, 20, 1.6, -6.727, 0.2685, 0.06284, 4.273, 50.19
2SK82_18, 2SK82_18, 20, 1.6, -5.063, 0.2886, 0.05658, 5.101, 50.06
2SK82_19, 2SK82_19, 20, 1.6, -7.856, 0.292, 0.06576, 4.441, 50.12
2SK82_1, 2SK82_1, 20, 1.6, -5.914, 0.629, 0.1108, 5.679, 50.19
2SK82_20, 2SK82_20, 20, 1.6, -4.935, 0.2573, 0.0514, 5.006, 50.25
2SK82_21, 2SK82_21, 20, 1.6, -6.868, 0.2648, 0.05965, 4.44, 50.12
2SK82_22, 2SK82_22, 20, 1.6, -7.11, 0.3098, 0.06288, 4.928, 50.25
2SK82_23, 2SK82_23, 20, 1.6, -7.595, 0.5293, 0.1081, 4.899, 50.12
2SK82_24, 2SK82_24, 20, 1.6, -7.568, 0.2836, 0.06049, 4.69, 50.12
2SK82_25, 2SK82_25, 20, 1.6, -5.954, 0.2678, 0.0577, 4.641, 50.19
2SK82_26, 2SK82_26, 20, 1.6, -6.517, 0.2781, 0.0559, 4.975, 50.25
2SK82_27NA, 2SK82_27, 20, 1.6, -4.449, 0.2535, 0.05107, 4.964, 50.12
2SK82_28, 2SK82_28, 20, 1.6, -6.814, 0.5708, 0.1068, 5.345, 50.19
2SK82_29, 2SK82_29, 20, 1.6, -7.783, 0.4979, 0.1057, 4.709, 50.44
2SK82_2, 2SK82_2, 20, 1.6, -4.985, 0.649, 0.102, 6.363, 50.12
2SK82_30, 2SK82_30, 20, 1.6, -6.491, 0.2845, 0.06306, 4.512, 50.31
2SK82_31, 2SK82_31, 20, 1.6, -6.543, 0.5483, 0.1049, 5.225, 50.25
2SK82_32, 2SK82_32, 20, 1.6, -6.221, 0.4702, 0.08655, 5.433, 50.31
2SK82_34, 2SK82_34, 20, 1.6, -4.466, 0.2744, 0.0556, 4.936, 50.31
2SK82_35, 2SK82_35, 20, 1.6, -5.644, 0.2947, 0.05966, 4.941, 50.25
2SK82_36, 2SK82_36, 20, 1.6, -4.741, 0.2732, 0.05237, 5.217, 50.25
2SK82_37, 2SK82_37, 20, 1.6, -3.583, 0.3437, 0.04345, 7.911, 50.31
2SK82_38, 2SK82_38, 20, 1.6, -4.156, 0.2817, 0.04935, 5.708, 50.25
2SK82_39, 2SK82_39, 20, 1.6, -6.61, 0.2657, 0.05167, 5.143, 50.25
2SK82_3, 2SK82_3, 20, 1.6, -6.01, 0.5587, 0.1077, 5.186, 50.12
2SK82_40, 2SK82_40, 20, 1.6, -5.044, 0.2258, 0.04767, 4.738, 50.31
2SK82_41, 2SK82_41, 20, 1.6, -5.643, 0.2566, 0.051, 5.032, 50.19
2SK82_42NA, 2SK82_42, 20, 1.6, -7.476, 0.2599, 0.05037, 5.16, 50.19
2SK82_43, 2SK82_43, 20, 1.6, -6.469, 0.2718, 0.0569, 4.777, 50.25
2SK82_44, 2SK82_44, 20, 1.6, -4.135, 0.2851, 0.05745, 4.964, 50.25
2SK82_45, 2SK82_45, 20, 1.6, -3.849, 0.2906, 0.04142, 7.017, 50.25
2SK82_46, 2SK82_46, 20, 1.6, -6.463, 0.2396, 0.05145, 4.657, 50.19
2SK82_47, 2SK82_47, 20, 1.6, -5.393, 0.2448, 0.05222, 4.689, 50.25
2SK82_48, 2SK82_48, 20, 1.6, -4.904, 0.249, 0.0556, 4.479, 50.25
2SK82_49, 2SK82_49, 20, 1.6, -5.972, 0.2452, 0.04457, 5.501, 50.25
2SK82_4, 2SK82_4, 20, 1.6, -5.719, 0.6585, 0.098, 6.719, 50.12
2SK82_50, 2SK82_50, 20, 1.6, -5.008, 0.246, 0.05232, 4.702, 50.25
2SK82_51NAbb, 2SK82_51, 20, 1.6, -6.884, 0.5117, 0.09237, 5.54, 50.25
2SK82_52, 2SK82_52, 20, 1.6, -6.755, 0.2697, 0.05565, 4.846, 50.19
2SK82_53, 2SK82_53, 20, 1.6, -6.276, 0.2483, 0.05722, 4.34, 50.25
2SK82_54NAbb, 2SK82_54, 20, 1.6, -7.034, 0.5451, 0.1066, 5.114, 50.19
2SK82_55, 2SK82_55, 20, 1.6, -6.699, 0.2823, 0.06485, 4.353, 50.25
2SK82_56, 2SK82_56, 20, 1.6, -4.917, 0.2424, 0.04705, 5.152, 50.25
2SK82_57, 2SK82_57, 20, 1.6, -5.911, 0.5895, 0.0905, 6.514, 50.25
2SK82_58, 2SK82_58, 20, 1.6, -3.076, 0.3169, 0.05495, 5.768, 50.31
2SK82_59, 2SK82_59, 20, 1.6, -5.684, 0.254, 0.05529, 4.594, 50.25
2SK82_5NA, 2SK82_5, 20, 1.6, -6.205, 0.5505, 0.1032, 5.332, 50
2SK82_6NA, 2SK82_6, 20, 1.6, -6.623, 0.53, 0.1068, 4.965, 50.06
2SK82_7NA, 2SK82_7, 20, 1.6, -6.897, 0.553, 0.1067, 5.18, 50.06
2SK82_8NA, 2SK82_8, 20, 1.6, -6.7, 0.5245, 0.1083, 4.845, 50.31
2SK82_9NA, 2SK82_9, 20, 1.6, -6.522, 0.2565, 0.05825, 4.403, 50.31
