Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
300B_Svetlana_5, 300B_Svetlana_5, 300B_Svetlana_6, 300B_Svetlana_6, 100, 400, 0.01, 0.1, 3.058, 2.229
300B_Svetlana_5, 300B_Svetlana_5, 300B_Svetlana_7, 300B_Svetlana_7, 100, 400, 0.01, 0.1, 3.883, 2.85
300B_Svetlana_5, 300B_Svetlana_5, 300B_Svetlana_8, 300B_Svetlana_8, 100, 400, 0.01, 0.1, 6.443, 5.37
300B_Svetlana_5, 300B_Svetlana_5, 300B_Svetlana_9, 300B_Svetlana_9, 100, 400, 0.01, 0.1, 4.713, 3.75
300B_Svetlana_5, 300B_Svetlana_5, 300B_TJMesh_1, 300B_TJMesh_1, 100, 400, 0.01, 0.1, 2.293, 2.29
300B_Svetlana_5, 300B_Svetlana_5, 300B_TJMesh_2, 300B_TJMesh_2, 100, 400, 0.01, 0.1, 2.435, 2.385
300B_Svetlana_5, 300B_Svetlana_5, 300B_TJMesh_3, 300B_TJMesh_3, 100, 400, 0.01, 0.1, 4.511, 3.767
300B_Svetlana_5, 300B_Svetlana_5, 300B_TJMesh_4, 300B_TJMesh_4, 100, 400, 0.01, 0.1, 4.956, 3.611
300B_Svetlana_6, 300B_Svetlana_6, 300B_Svetlana_7, 300B_Svetlana_7, 100, 400, 0.01, 0.1, 2.255, 2.201
300B_Svetlana_6, 300B_Svetlana_6, 300B_Svetlana_8, 300B_Svetlana_8, 100, 400, 0.01, 0.1, 5.077, 4.873
300B_Svetlana_6, 300B_Svetlana_6, 300B_Svetlana_9, 300B_Svetlana_9, 100, 400, 0.01, 0.1, 3.236, 3.156
300B_Svetlana_6, 300B_Svetlana_6, 300B_TJMesh_1, 300B_TJMesh_1, 100, 400, 0.01, 0.1, 3.191, 2.28
300B_Svetlana_6, 300B_Svetlana_6, 300B_TJMesh_2, 300B_TJMesh_2, 100, 400, 0.01, 0.1, 2.546, 1.961
300B_Svetlana_6, 300B_Svetlana_6, 300B_TJMesh_3, 300B_TJMesh_3, 100, 400, 0.01, 0.1, 3.14, 3.118
300B_Svetlana_6, 300B_Svetlana_6, 300B_TJMesh_4, 300B_TJMesh_4, 100, 400, 0.01, 0.1, 4.364, 4.198
300B_Svetlana_7, 300B_Svetlana_7, 300B_Svetlana_8, 300B_Svetlana_8, 100, 400, 0.01, 0.1, 4.419, 4.305
300B_Svetlana_7, 300B_Svetlana_7, 300B_Svetlana_9, 300B_Svetlana_9, 100, 400, 0.01, 0.1, 3.016, 3.009
300B_Svetlana_7, 300B_Svetlana_7, 300B_TJMesh_1, 300B_TJMesh_1, 100, 400, 0.01, 0.1, 3.812, 2.69
300B_Svetlana_7, 300B_Svetlana_7, 300B_TJMesh_2, 300B_TJMesh_2, 100, 400, 0.01, 0.1, 3.238, 2.467
300B_Svetlana_7, 300B_Svetlana_7, 300B_TJMesh_3, 300B_TJMesh_3, 100, 400, 0.01, 0.1, 2.955, 2.953
300B_Svetlana_7, 300B_Svetlana_7, 300B_TJMesh_4, 300B_TJMesh_4, 100, 400, 0.01, 0.1, 3.856, 3.774
300B_Svetlana_8, 300B_Svetlana_8, 300B_Svetlana_9, 300B_Svetlana_9, 100, 400, 0.01, 0.1, 4.935, 4.871
300B_Svetlana_8, 300B_Svetlana_8, 300B_TJMesh_1, 300B_TJMesh_1, 100, 400, 0.01, 0.1, 6.133, 4.867
300B_Svetlana_8, 300B_Svetlana_8, 300B_TJMesh_2, 300B_TJMesh_2, 100, 400, 0.01, 0.1, 5.585, 4.671
300B_Svetlana_8, 300B_Svetlana_8, 300B_TJMesh_3, 300B_TJMesh_3, 100, 400, 0.01, 0.1, 4.906, 4.782
300B_Svetlana_8, 300B_Svetlana_8, 300B_TJMesh_4, 300B_TJMesh_4, 100, 400, 0.01, 0.1, 5.648, 5.639
300B_Svetlana_9, 300B_Svetlana_9, 300B_TJMesh_1, 300B_TJMesh_1, 100, 400, 0.01, 0.1, 4.389, 3.228
300B_Svetlana_9, 300B_Svetlana_9, 300B_TJMesh_2, 300B_TJMesh_2, 100, 400, 0.01, 0.1, 3.979, 3.171
300B_Svetlana_9, 300B_Svetlana_9, 300B_TJMesh_3, 300B_TJMesh_3, 100, 400, 0.01, 0.1, 3.983, 3.969
300B_Svetlana_9, 300B_Svetlana_9, 300B_TJMesh_4, 300B_TJMesh_4, 100, 400, 0.01, 0.1, 4.325, 4.293
300B_TJMesh_1, 300B_TJMesh_1, 300B_TJMesh_2, 300B_TJMesh_2, 100, 400, 0.01, 0.1, 2.23, 2.142
300B_TJMesh_1, 300B_TJMesh_1, 300B_TJMesh_3, 300B_TJMesh_3, 100, 400, 0.01, 0.1, 4.286, 3.397
300B_TJMesh_1, 300B_TJMesh_1, 300B_TJMesh_4, 300B_TJMesh_4, 100, 400, 0.01, 0.1, 5.375, 4.095
300B_TJMesh_2, 300B_TJMesh_2, 300B_TJMesh_3, 300B_TJMesh_3, 100, 400, 0.01, 0.1, 3.145, 2.467
300B_TJMesh_2, 300B_TJMesh_2, 300B_TJMesh_4, 300B_TJMesh_4, 100, 400, 0.01, 0.1, 4.84, 3.873
300B_TJMesh_3, 300B_TJMesh_3, 300B_TJMesh_4, 300B_TJMesh_4, 100, 400, 0.01, 0.1, 3.713, 3.599
