Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
300B_EHX_12, 300B_EHX_12, 300, 0.1, -49.79, 0.005815, 0.00147, 3.956, NA
300B_EHX_13, 300B_EHX_13, 300, 0.1, -51.52, 0.005257, 0.001484, 3.542, NA
300B_EHX_14, 300B_EHX_14, 300, 0.1, -48.12, 0.005514, 0.001358, 4.06, NA
300B_EHX_15, 300B_EHX_15, 300, 0.1, -49.75, 0.006492, 0.001598, 4.063, NA
300B_EHX_16, 300B_EHX_16, 300, 0.1, -49.94, 0.003604, 0.001066, 3.381, NA
300B_EHX_17, 300B_EHX_17, 300, 0.1, -53.07, 0.006428, 0.001576, 4.079, NA
300B_Svetlana_11, 300B_Svetlana_11, 300, 0.1, -51.84, 0.0063, 0.001258, 5.008, NA
300B_Svetlana_5, 300B_Svetlana_5, 300, 0.1, -53.69, 0.006265, 0.001554, 4.032, NA
300B_Svetlana_6, 300B_Svetlana_6, 300, 0.1, -51.64, 0.006367, 0.001256, 5.069, NA
300B_Svetlana_7, 300B_Svetlana_7, 300, 0.1, -51.12, 0.006363, 0.001876, 3.392, NA
300B_Svetlana_8, 300B_Svetlana_8, 300, 0.1, -49.42, 0.007291, 0.001774, 4.11, NA
300B_Svetlana_9, 300B_Svetlana_9, 300, 0.1, -50.21, 0.005887, 0.001698, 3.467, NA
300B_TJMesh_1, 300B_TJMesh_1, 300, 0.1, -53.94, 0.006057, 0.001535, 3.945, NA
300B_TJMesh_2, 300B_TJMesh_2, 300, 0.1, -53.64, 0.006248, 0.001551, 4.028, NA
300B_TJMesh_3, 300B_TJMesh_3, 300, 0.1, -51.39, 0.00553, 0.001427, 3.875, NA
300B_TJMesh_4, 300B_TJMesh_4, 300, 0.1, -50.03, 0.005686, 0.001522, 3.737, NA
