Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
6C33C_A, 6C33C_A, 6C33C_B, 6C33C_B, 25, 175, 0.01, 0.3, 3.187, 3.049
6C33C_A, 6C33C_A, 6C33C_C, 6C33C_C, 25, 175, 0.01, 0.3, 4.469, 3.635
6C33C_A, 6C33C_A, 6C33C_C_AGAIN, 6C33C_C_AGAIN, 25, 175, 0.01, 0.3, 6.157, 5.553
6C33C_A, 6C33C_A, 6C33C_D, 6C33C_D, 25, 175, 0.01, 0.3, 5.265, 4.919
6C33C_A, 6C33C_A, 6C33C_E, 6C33C_E, 25, 175, 0.01, 0.3, 4.25, 3.958
6C33C_A, 6C33C_A, 6C33C_F, 6C33C_F, 25, 175, 0.01, 0.3, 5.598, 5.595
6C33C_A, 6C33C_A, 6C33C_G, 6C33C_G, 25, 175, 0.01, 0.3, 5.699, 5.253
6C33C_A, 6C33C_A, 6C33C_H, 6C33C_H, 25, 175, 0.01, 0.3, 5.163, 4.631
6C33C_A, 6C33C_A, 6C33C_I, 6C33C_I, 25, 175, 0.01, 0.3, 5.362, 4.436
6C33C_A, 6C33C_A, 6C33C_J, 6C33C_J, 25, 175, 0.01, 0.3, 7.544, 5.579
6C33C_A, 6C33C_A, 6C33C_K, 6C33C_K, 25, 175, 0.01, 0.3, 4.363, 4.362
6C33C_A, 6C33C_A, 6C33C_L, 6C33C_L, 25, 175, 0.01, 0.3, 5.302, 3.92
6C33C_A, 6C33C_A, 6C33C_M, 6C33C_M, 25, 175, 0.01, 0.3, 5.013, 4.026
6C33C_A, 6C33C_A, 6C33C_N, 6C33C_N, 25, 175, 0.01, 0.3, 4.476, 4.277
6C33C_A, 6C33C_A, 6C33C_O, 6C33C_O, 25, 175, 0.01, 0.3, 4.525, 4.399
6C33C_A, 6C33C_A, 6C33C_P, 6C33C_P, 25, 175, 0.01, 0.3, 5.619, 5.457
6C33C_A, 6C33C_A, 6C33C_P_AGAIN, 6C33C_P_AGAIN, 25, 175, 0.01, 0.3, 3.558, 3.123
6C33C_A, 6C33C_A, 6C33C_P_Vg90V, 6C33C_P_Vg90V, 25, 175, 0.01, 0.3, 8.332, 8.171
6C33C_B, 6C33C_B, 6C33C_C, 6C33C_C, 25, 175, 0.01, 0.3, 3.74, 3.371
6C33C_B, 6C33C_B, 6C33C_C_AGAIN, 6C33C_C_AGAIN, 25, 175, 0.01, 0.3, 5.091, 4.819
6C33C_B, 6C33C_B, 6C33C_D, 6C33C_D, 25, 175, 0.01, 0.3, 3.806, 3.707
6C33C_B, 6C33C_B, 6C33C_E, 6C33C_E, 25, 175, 0.01, 0.3, 2.373, 2.312
6C33C_B, 6C33C_B, 6C33C_F, 6C33C_F, 25, 175, 0.01, 0.3, 5.066, 5.008
6C33C_B, 6C33C_B, 6C33C_G, 6C33C_G, 25, 175, 0.01, 0.3, 4.666, 4.521
6C33C_B, 6C33C_B, 6C33C_H, 6C33C_H, 25, 175, 0.01, 0.3, 4.055, 3.804
6C33C_B, 6C33C_B, 6C33C_I, 6C33C_I, 25, 175, 0.01, 0.3, 3.739, 3.134
