Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
6C33C_A, 6C33C_A, 125, 0.2, -41.36, 0.01933, 0.00832, 2.323, NA
6C33C_B, 6C33C_B, 125, 0.2, -40.64, 0.0182, 0.007714, 2.36, NA
6C33C_C_AGAIN, 6C33C_C_AGAIN, 125, 0.2, -37.96, 0.02117, 0.008286, 2.554, NA
6C33C_C, 6C33C_C, 125, 0.2, -37.99, 0.021, 0.008271, 2.539, NA
6C33C_D, 6C33C_D, 125, 0.2, -39.48, 0.02062, 0.008448, 2.441, NA
6C33C_E, 6C33C_E, 125, 0.2, -40.59, 0.01888, 0.007691, 2.454, NA
6C33C_F, 6C33C_F, 125, 0.2, -40.9, 0.0195, 0.007999, 2.438, NA
6C33C_G, 6C33C_G, 125, 0.2, -38.52, 0.02019, 0.008477, 2.382, NA
6C33C_H, 6C33C_H, 125, 0.2, -38.83, 0.01956, 0.007854, 2.49, NA
6C33C_I, 6C33C_I, 125, 0.2, -37.86, 0.02003, 0.008014, 2.499, NA
6C33C_J, 6C33C_J, 125, 0.2, -34.91, 0.0201, 0.007405, 2.714, NA
6C33C_K, 6C33C_K, 125, 0.2, -42.35, 0.01874, 0.008851, 2.117, NA
6C33C_L, 6C33C_L, 125, 0.2, -38.86, 0.02033, 0.008404, 2.419, NA
6C33C_M, 6C33C_M, 125, 0.2, -38.27, 0.0201, 0.008166, 2.462, NA
6C33C_N, 6C33C_N, 125, 0.2, -40.02, 0.0183, 0.007977, 2.294, NA
6C33C_O, 6C33C_O, 125, 0.2, -40.26, 0.0183, 0.008207, 2.229, NA
6C33C_P_AGAIN, 6C33C_P_AGAIN, 125, 0.2, -39.17, 0.02056, 0.00825, 2.492, NA
6C33C_P, 6C33C_P, 125, 0.2, -39.36, 0.02043, 0.008265, 2.472, NA
6C33C_P_Vg90V, 6C33C_P_Vg90V, 125, 0.2, -39.1, 0.02067, 0.008118, 2.546, NA
