Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
6E5P_1, 6E5P_1, 6E5P_10, 6E5P_10, 50, 300, 0, 0.06, 0.4434, 0.4415
6E5P_1, 6E5P_1, 6E5P_11, 6E5P_11, 50, 300, 0, 0.06, 0.5987, 0.4893
6E5P_1, 6E5P_1, 6E5P_12, 6E5P_12, 50, 300, 0, 0.06, 0.5471, 0.4597
6E5P_1, 6E5P_1, 6E5P_13, 6E5P_13, 50, 300, 0, 0.06, 0.4519, 0.4417
6E5P_1, 6E5P_1, 6E5P_14, 6E5P_14, 50, 300, 0, 0.06, 0.4808, 0.4795
6E5P_1, 6E5P_1, 6E5P_15, 6E5P_15, 50, 300, 0, 0.06, 0.5107, 0.502
6E5P_1, 6E5P_1, 6E5P_16, 6E5P_16, 50, 300, 0, 0.06, 0.5212, 0.5108
6E5P_1, 6E5P_1, 6E5P_17, 6E5P_17, 50, 300, 0, 0.06, 0.5045, 0.4958
6E5P_1, 6E5P_1, 6E5P_18, 6E5P_18, 50, 300, 0, 0.06, 0.4204, 0.414
6E5P_1, 6E5P_1, 6E5P_19, 6E5P_19, 50, 300, 0, 0.06, 0.4754, 0.4583
6E5P_1, 6E5P_1, 6E5P_2, 6E5P_2, 50, 300, 0, 0.06, 0.4379, 0.433
6E5P_1, 6E5P_1, 6E5P_20, 6E5P_20, 50, 300, 0, 0.06, 0.4485, 0.4148
6E5P_10, 6E5P_10, 6E5P_11, 6E5P_11, 50, 300, 0, 0.06, 0.3298, 0.1168
6E5P_10, 6E5P_10, 6E5P_12, 6E5P_12, 50, 300, 0, 0.06, 0.2706, 0.09268
6E5P_10, 6E5P_10, 6E5P_13, 6E5P_13, 50, 300, 0, 0.06, 0.2056, 0.1506
6E5P_10, 6E5P_10, 6E5P_14, 6E5P_14, 50, 300, 0, 0.06, 0.1933, 0.1774
6E5P_10, 6E5P_10, 6E5P_15, 6E5P_15, 50, 300, 0, 0.06, 0.1332, 0.1193
6E5P_10, 6E5P_10, 6E5P_16, 6E5P_16, 50, 300, 0, 0.06, 0.2072, 0.1967
6E5P_10, 6E5P_10, 6E5P_17, 6E5P_17, 50, 300, 0, 0.06, 0.1789, 0.1319
6E5P_10, 6E5P_10, 6E5P_18, 6E5P_18, 50, 300, 0, 0.06, 0.1526, 0.1504
6E5P_10, 6E5P_10, 6E5P_19, 6E5P_19, 50, 300, 0, 0.06, 0.1098, 0.06311
6E5P_10, 6E5P_10, 6E5P_2, 6E5P_2, 50, 300, 0, 0.06, 0.2041, 0.2013
6E5P_10, 6E5P_10, 6E5P_20, 6E5P_20, 50, 300, 0, 0.06, 0.149, 0.08686
6E5P_11, 6E5P_11, 6E5P_12, 6E5P_12, 50, 300, 0, 0.06, 0.09648, 0.07849
6E5P_11, 6E5P_11, 6E5P_13, 6E5P_13, 50, 300, 0, 0.06, 0.5032, 0.2332
6E5P_11, 6E5P_11, 6E5P_14, 6E5P_14, 50, 300, 0, 0.06, 0.431, 0.1932
6E5P_11, 6E5P_11, 6E5P_15, 6E5P_15, 50, 300, 0, 0.06, 0.2647, 0.08364
6E5P_11, 6E5P_11, 6E5P_16, 6E5P_16, 50, 300, 0, 0.06, 0.3246, 0.2165
6E5P_11, 6E5P_11, 6E5P_17, 6E5P_17, 50, 300, 0, 0.06, 0.4805, 0.2171
6E5P_11, 6E5P_11, 6E5P_18, 6E5P_18, 50, 300, 0, 0.06, 0.3333, 0.1751
6E5P_11, 6E5P_11, 6E5P_19, 6E5P_19, 50, 300, 0, 0.06, 0.2513, 0.1238
6E5P_11, 6E5P_11, 6E5P_2, 6E5P_2, 50, 300, 0, 0.06, 0.3463, 0.2092
6E5P_11, 6E5P_11, 6E5P_20, 6E5P_20, 50, 300, 0, 0.06, 0.2142, 0.1028
6E5P_12, 6E5P_12, 6E5P_13, 6E5P_13, 50, 300, 0, 0.06, 0.4465, 0.2123
6E5P_12, 6E5P_12, 6E5P_14, 6E5P_14, 50, 300, 0, 0.06, 0.3851, 0.1937
6E5P_12, 6E5P_12, 6E5P_15, 6E5P_15, 50, 300, 0, 0.06, 0.2193, 0.09873
6E5P_12, 6E5P_12, 6E5P_16, 6E5P_16, 50, 300, 0, 0.06, 0.2846, 0.2113
6E5P_12, 6E5P_12, 6E5P_17, 6E5P_17, 50, 300, 0, 0.06, 0.4229, 0.1955
6E5P_12, 6E5P_12, 6E5P_18, 6E5P_18, 50, 300, 0, 0.06, 0.2965, 0.1895
6E5P_12, 6E5P_12, 6E5P_19, 6E5P_19, 50, 300, 0, 0.06, 0.1957, 0.1067
6E5P_12, 6E5P_12, 6E5P_2, 6E5P_2, 50, 300, 0, 0.06, 0.3153, 0.2277
6E5P_12, 6E5P_12, 6E5P_20, 6E5P_20, 50, 300, 0, 0.06, 0.1667, 0.1002
6E5P_13, 6E5P_13, 6E5P_14, 6E5P_14, 50, 300, 0, 0.06, 0.2526, 0.2442
6E5P_13, 6E5P_13, 6E5P_15, 6E5P_15, 50, 300, 0, 0.06, 0.3035, 0.2295
6E5P_13, 6E5P_13, 6E5P_16, 6E5P_16, 50, 300, 0, 0.06, 0.3175, 0.2411
6E5P_13, 6E5P_13, 6E5P_17, 6E5P_17, 50, 300, 0, 0.06, 0.1051, 0.1034
6E5P_13, 6E5P_13, 6E5P_18, 6E5P_18, 50, 300, 0, 0.06, 0.2542, 0.195
6E5P_13, 6E5P_13, 6E5P_19, 6E5P_19, 50, 300, 0, 0.06, 0.2746, 0.1521
6E5P_13, 6E5P_13, 6E5P_2, 6E5P_2, 50, 300, 0, 0.06, 0.2734, 0.2107
6E5P_13, 6E5P_13, 6E5P_20, 6E5P_20, 50, 300, 0, 0.06, 0.3192, 0.1857
6E5P_14, 6E5P_14, 6E5P_15, 6E5P_15, 50, 300, 0, 0.06, 0.2281, 0.1839
6E5P_14, 6E5P_14, 6E5P_16, 6E5P_16, 50, 300, 0, 0.06, 0.2819, 0.2435
6E5P_14, 6E5P_14, 6E5P_17, 6E5P_17, 50, 300, 0, 0.06, 0.2281, 0.2237
6E5P_14, 6E5P_14, 6E5P_18, 6E5P_18, 50, 300, 0, 0.06, 0.2229, 0.1989
6E5P_14, 6E5P_14, 6E5P_19, 6E5P_19, 50, 300, 0, 0.06, 0.2567, 0.197
6E5P_14, 6E5P_14, 6E5P_2, 6E5P_2, 50, 300, 0, 0.06, 0.2756, 0.2527
6E5P_14, 6E5P_14, 6E5P_20, 6E5P_20, 50, 300, 0, 0.06, 0.269, 0.1832
6E5P_15, 6E5P_15, 6E5P_16, 6E5P_16, 50, 300, 0, 0.06, 0.1926, 0.1925
6E5P_15, 6E5P_15, 6E5P_17, 6E5P_17, 50, 300, 0, 0.06, 0.2793, 0.2137
6E5P_15, 6E5P_15, 6E5P_18, 6E5P_18, 50, 300, 0, 0.06, 0.1772, 0.1739
6E5P_15, 6E5P_15, 6E5P_19, 6E5P_19, 50, 300, 0, 0.06, 0.1486, 0.1454
6E5P_15, 6E5P_15, 6E5P_2, 6E5P_2, 50, 300, 0, 0.06, 0.2188, 0.2173
6E5P_15, 6E5P_15, 6E5P_20, 6E5P_20, 50, 300, 0, 0.06, 0.1172, 0.09944
6E5P_16, 6E5P_16, 6E5P_17, 6E5P_17, 50, 300, 0, 0.06, 0.273, 0.2022
6E5P_16, 6E5P_16, 6E5P_18, 6E5P_18, 50, 300, 0, 0.06, 0.2252, 0.2223
6E5P_16, 6E5P_16, 6E5P_19, 6E5P_19, 50, 300, 0, 0.06, 0.2076, 0.2061
6E5P_16, 6E5P_16, 6E5P_2, 6E5P_2, 50, 300, 0, 0.06, 0.2689, 0.2672
6E5P_16, 6E5P_16, 6E5P_20, 6E5P_20, 50, 300, 0, 0.06, 0.2069, 0.1994
6E5P_17, 6E5P_17, 6E5P_18, 6E5P_18, 50, 300, 0, 0.06, 0.2303, 0.1784
6E5P_17, 6E5P_17, 6E5P_19, 6E5P_19, 50, 300, 0, 0.06, 0.251, 0.1362
6E5P_17, 6E5P_17, 6E5P_2, 6E5P_2, 50, 300, 0, 0.06, 0.2925, 0.2473
6E5P_17, 6E5P_17, 6E5P_20, 6E5P_20, 50, 300, 0, 0.06, 0.3008, 0.1782
