Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
6E5P_10, 6E5P_10, 200, 0.04, -3.304, 0.03473, 0.0009098, 38.17, NA
6E5P_11, 6E5P_11, 200, 0.04, -3.581, 0.03264, 0.0009795, 33.32, NA
6E5P_12, 6E5P_12, 200, 0.04, -3.567, 0.03522, 0.0009919, 35.51, NA
6E5P_13, 6E5P_13, 200, 0.04, -3.111, 0.03383, 0.0009281, 36.45, NA
6E5P_14, 6E5P_14, 200, 0.04, -3.175, 0.03308, 0.0008647, 38.26, NA
6E5P_15, 6E5P_15, 200, 0.04, -3.355, 0.03164, 0.0009554, 33.12, NA
6E5P_16, 6E5P_16, 200, 0.04, -3.309, 0.03212, 0.0008649, 37.13, NA
6E5P_17, 6E5P_17, 200, 0.04, -3.152, 0.03505, 0.0009762, 35.9, NA
6E5P_18, 6E5P_18, 200, 0.04, -3.262, 0.03178, 0.0009098, 34.93, NA
6E5P_19, 6E5P_19, 200, 0.04, -3.363, 0.03235, 0.0008515, 37.99, NA
6E5P_1, 6E5P_1, 200, 0.04, -3.158, 0.03305, 0.0008544, 38.69, NA
6E5P_20, 6E5P_20, 200, 0.04, -3.425, 0.03274, 0.000924, 35.43, NA
6E5P_2, 6E5P_2, 200, 0.04, -3.271, 0.03118, 0.0007599, 41.03, NA
6E5P_3, 6E5P_3, 200, 0.04, -3.102, 0.03378, 0.0009035, 37.39, NA
6E5P_4, 6E5P_4, 200, 0.04, -3.201, 0.03384, 0.0008843, 38.27, NA
6E5P_5, 6E5P_5, 200, 0.04, -3.069, 0.03107, 0.0008062, 38.54, NA
6E5P_6, 6E5P_6, 200, 0.04, -3.456, 0.03169, 0.0009032, 35.09, NA
6E5P_7, 6E5P_7, 200, 0.04, -3.617, 0.0332, 0.001024, 32.42, NA
6E5P_8, 6E5P_8, 200, 0.04, -2.987, 0.03521, 0.0009246, 38.08, NA
6E5P_9, 6E5P_9, 200, 0.04, -3.626, 0.03259, 0.0009576, 34.03, NA
