Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_10B, 6H23pi_10_UNIT2, 0, 90, 0, 0.02, 0.5778, 0.5437
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_11A, 6H23pi_11_UNIT1, 0, 90, 0, 0.02, 0.6861, 0.4874
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_11B, 6H23pi_11_UNIT2, 0, 90, 0, 0.02, 0.763, 0.6067
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_12A, 6H23pi_12_UNIT1, 0, 90, 0, 0.02, 0.6457, 0.5979
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_12B, 6H23pi_12_UNIT2, 0, 90, 0, 0.02, 0.7858, 0.6317
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_1A, 6H23pi_1_UNIT1, 0, 90, 0, 0.02, 0.7167, 0.634
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_1B, 6H23pi-1_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.8318, 0.6895
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_2A, 6H23pi_2_UNIT1, 0, 90, 0, 0.02, 0.7672, 0.7624
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_2B, 6H23pi_2_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.5359, 0.5225
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_3A, 6H23pi_3_UNIT1, 0, 90, 0, 0.02, 0.5175, 0.4968
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_3B, 6H23pi_3_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.8218, 0.8133
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_4A, 6H23pi_4_UNIT1, 0, 90, 0, 0.02, 0.5431, 0.4176
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_4B, 6H23pi_4_UNIT2, 0, 90, 0, 0.02, 0.6088, 0.5597
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_5A, 6H23pi_5_UNIT1, 0, 90, 0, 0.02, 0.6758, 0.5902
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_5B, 6H23pi_5_UNIT2, 0, 90, 0, 0.02, 0.6348, 0.5607
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_6A, 6H23pi_6_UNIT1, 0, 90, 0, 0.02, 0.5982, 0.4224
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_6B, 6H23pi_6_UNIT2, 0, 90, 0, 0.02, 0.6499, 0.5818
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_7A, 6H23pi_7_UNIT1, 0, 90, 0, 0.02, 0.6224, 0.4561
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_7B, 6H23pi_7_UNIT2, 0, 90, 0, 0.02, 0.7072, 0.5638
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_8A, 6H23pi_8_UNIT1, 0, 90, 0, 0.02, 0.482, 0.3606
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_8B, 6H23pi_8_UNIT2, 0, 90, 0, 0.02, 0.7791, 0.64
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_9A, 6H23pi_9_UNIT1, 0, 90, 0, 0.02, 0.5654, 0.5642
6H23pi_10A, 6H23pi_10_UNIT1, 6H23pi_9B, 6H23pi_9_UNIT2, 0, 90, 0, 0.02, 0.515, 0.5141
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_11A, 6H23pi_11_UNIT1, 0, 90, 0, 0.02, 0.4286, 0.3265
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_11B, 6H23pi_11_UNIT2, 0, 90, 0, 0.02, 0.2831, 0.1372
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_12A, 6H23pi_12_UNIT1, 0, 90, 0, 0.02, 0.2641, 0.2571
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_12B, 6H23pi_12_UNIT2, 0, 90, 0, 0.02, 0.3225, 0.2113
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_1A, 6H23pi_1_UNIT1, 0, 90, 0, 0.02, 0.2501, 0.2209
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_1B, 6H23pi-1_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.4004, 0.3174
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_2A, 6H23pi_2_UNIT1, 0, 90, 0, 0.02, 0.5772, 0.5157
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_2B, 6H23pi_2_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.1218, 0.1011
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_3A, 6H23pi_3_UNIT1, 0, 90, 0, 0.02, 0.2126, 0.2086
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_3B, 6H23pi_3_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.5544, 0.5488
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_4A, 6H23pi_4_UNIT1, 0, 90, 0, 0.02, 0.3072, 0.2715
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_4B, 6H23pi_4_UNIT2, 0, 90, 0, 0.02, 0.08553, 0.07651
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_5A, 6H23pi_5_UNIT1, 0, 90, 0, 0.02, 0.258, 0.2147
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_5B, 6H23pi_5_UNIT2, 0, 90, 0, 0.02, 0.136, 0.09029
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_6A, 6H23pi_6_UNIT1, 0, 90, 0, 0.02, 0.3395, 0.2514
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_6B, 6H23pi_6_UNIT2, 0, 90, 0, 0.02, 0.1259, 0.09198
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_7A, 6H23pi_7_UNIT1, 0, 90, 0, 0.02, 0.3465, 0.278
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_7B, 6H23pi_7_UNIT2, 0, 90, 0, 0.02, 0.2667, 0.1307
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_8A, 6H23pi_8_UNIT1, 0, 90, 0, 0.02, 0.694, 0.6882
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_8B, 6H23pi_8_UNIT2, 0, 90, 0, 0.02, 0.3247, 0.2362
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_9A, 6H23pi_9_UNIT1, 0, 90, 0, 0.02, 0.2312, 0.1678
6H23pi_10B, 6H23pi_10_UNIT2, 6H23pi_9B, 6H23pi_9_UNIT2, 0, 90, 0, 0.02, 0.2379, 0.169
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_11B, 6H23pi_11_UNIT2, 0, 90, 0, 0.02, 0.323, 0.3223
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_12A, 6H23pi_12_UNIT1, 0, 90, 0, 0.02, 0.4127, 0.3535
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_12B, 6H23pi_12_UNIT2, 0, 90, 0, 0.02, 0.3431, 0.3415
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_1A, 6H23pi_1_UNIT1, 0, 90, 0, 0.02, 0.3667, 0.3321
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_1B, 6H23pi-1_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.4632, 0.4623
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_2A, 6H23pi_2_UNIT1, 0, 90, 0, 0.02, 0.8856, 0.6773
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_2B, 6H23pi_2_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.4851, 0.3354
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_3A, 6H23pi_3_UNIT1, 0, 90, 0, 0.02, 0.4984, 0.3813
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_3B, 6H23pi_3_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.7589, 0.6668
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_4A, 6H23pi_4_UNIT1, 0, 90, 0, 0.02, 0.2629, 0.2313
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_4B, 6H23pi_4_UNIT2, 0, 90, 0, 0.02, 0.4105, 0.334
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_5A, 6H23pi_5_UNIT1, 0, 90, 0, 0.02, 0.376, 0.3567
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_5B, 6H23pi_5_UNIT2, 0, 90, 0, 0.02, 0.3725, 0.3322
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_6A, 6H23pi_6_UNIT1, 0, 90, 0, 0.02, 0.2268, 0.2224
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_6B, 6H23pi_6_UNIT2, 0, 90, 0, 0.02, 0.3788, 0.331
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_7A, 6H23pi_7_UNIT1, 0, 90, 0, 0.02, 0.2273, 0.218
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_7B, 6H23pi_7_UNIT2, 0, 90, 0, 0.02, 0.3487, 0.3468
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_8A, 6H23pi_8_UNIT1, 0, 90, 0, 0.02, 0.5572, 0.5259
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_8B, 6H23pi_8_UNIT2, 0, 90, 0, 0.02, 0.3964, 0.3924
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_9A, 6H23pi_9_UNIT1, 0, 90, 0, 0.02, 0.5556, 0.3387
6H23pi_11A, 6H23pi_11_UNIT1, 6H23pi_9B, 6H23pi_9_UNIT2, 0, 90, 0, 0.02, 0.588, 0.3777
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_12A, 6H23pi_12_UNIT1, 0, 90, 0, 0.02, 0.3288, 0.2718
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_12B, 6H23pi_12_UNIT2, 0, 90, 0, 0.02, 0.2061, 0.2057
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_1A, 6H23pi_1_UNIT1, 0, 90, 0, 0.02, 0.2749, 0.242
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_1B, 6H23pi-1_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.3171, 0.3168
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_2A, 6H23pi_2_UNIT1, 0, 90, 0, 0.02, 0.8112, 0.6098
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_2B, 6H23pi_2_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.3673, 0.1852
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_3A, 6H23pi_3_UNIT1, 0, 90, 0, 0.02, 0.3904, 0.2626
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_3B, 6H23pi_3_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.6459, 0.5595
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_4A, 6H23pi_4_UNIT1, 0, 90, 0, 0.02, 0.3088, 0.2907
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_4B, 6H23pi_4_UNIT2, 0, 90, 0, 0.02, 0.256, 0.1465
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_5A, 6H23pi_5_UNIT1, 0, 90, 0, 0.02, 0.2445, 0.2218
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_5B, 6H23pi_5_UNIT2, 0, 90, 0, 0.02, 0.1785, 0.1083
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_6A, 6H23pi_6_UNIT1, 0, 90, 0, 0.02, 0.247, 0.246
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_6B, 6H23pi_6_UNIT2, 0, 90, 0, 0.02, 0.1916, 0.1085
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_7A, 6H23pi_7_UNIT1, 0, 90, 0, 0.02, 0.2902, 0.2861
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_7B, 6H23pi_7_UNIT2, 0, 90, 0, 0.02, 0.1173, 0.1157
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_8A, 6H23pi_8_UNIT1, 0, 90, 0, 0.02, 0.7284, 0.7055
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_8B, 6H23pi_8_UNIT2, 0, 90, 0, 0.02, 0.2724, 0.2693
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_9A, 6H23pi_9_UNIT1, 0, 90, 0, 0.02, 0.4684, 0.2231
6H23pi_11B, 6H23pi_11_UNIT2, 6H23pi_9B, 6H23pi_9_UNIT2, 0, 90, 0, 0.02, 0.4745, 0.2222
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_12B, 6H23pi_12_UNIT2, 0, 90, 0, 0.02, 0.3364, 0.2823
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_1A, 6H23pi_1_UNIT1, 0, 90, 0, 0.02, 0.2152, 0.2071
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_1B, 6H23pi-1_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.4385, 0.3974
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_2A, 6H23pi_2_UNIT1, 0, 90, 0, 0.02, 0.6874, 0.608
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_2B, 6H23pi_2_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.3237, 0.298
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_3A, 6H23pi_3_UNIT1, 0, 90, 0, 0.02, 0.3498, 0.3363
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_3B, 6H23pi_3_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.6319, 0.6167
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_4A, 6H23pi_4_UNIT1, 0, 90, 0, 0.02, 0.3408, 0.3297
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_4B, 6H23pi_4_UNIT2, 0, 90, 0, 0.02, 0.257, 0.2559
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_5A, 6H23pi_5_UNIT1, 0, 90, 0, 0.02, 0.2817, 0.2698
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_5B, 6H23pi_5_UNIT2, 0, 90, 0, 0.02, 0.2609, 0.2571
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_6A, 6H23pi_6_UNIT1, 0, 90, 0, 0.02, 0.39, 0.3506
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_6B, 6H23pi_6_UNIT2, 0, 90, 0, 0.02, 0.2434, 0.242
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_7A, 6H23pi_7_UNIT1, 0, 90, 0, 0.02, 0.3591, 0.3291
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_7B, 6H23pi_7_UNIT2, 0, 90, 0, 0.02, 0.3235, 0.2734
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_8A, 6H23pi_8_UNIT1, 0, 90, 0, 0.02, 0.7539, 0.7536
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_8B, 6H23pi_8_UNIT2, 0, 90, 0, 0.02, 0.3843, 0.351
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_9A, 6H23pi_9_UNIT1, 0, 90, 0, 0.02, 0.3136, 0.2241
6H23pi_12A, 6H23pi_12_UNIT1, 6H23pi_9B, 6H23pi_9_UNIT2, 0, 90, 0, 0.02, 0.3807, 0.3067
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_1A, 6H23pi_1_UNIT1, 0, 90, 0, 0.02, 0.2109, 0.1725
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_1B, 6H23pi-1_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.3533, 0.3533
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_2A, 6H23pi_2_UNIT1, 0, 90, 0, 0.02, 0.7104, 0.467
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_2B, 6H23pi_2_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.3926, 0.2357
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_3A, 6H23pi_3_UNIT1, 0, 90, 0, 0.02, 0.3643, 0.2195
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_3B, 6H23pi_3_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.7193, 0.6359
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_4A, 6H23pi_4_UNIT1, 0, 90, 0, 0.02, 0.3364, 0.3208
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_4B, 6H23pi_4_UNIT2, 0, 90, 0, 0.02, 0.3087, 0.2352
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_5A, 6H23pi_5_UNIT1, 0, 90, 0, 0.02, 0.1381, 0.1009
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_5B, 6H23pi_5_UNIT2, 0, 90, 0, 0.02, 0.251, 0.2132
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_6A, 6H23pi_6_UNIT1, 0, 90, 0, 0.02, 0.3136, 0.3136
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_6B, 6H23pi_6_UNIT2, 0, 90, 0, 0.02, 0.2572, 0.2086
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_7A, 6H23pi_7_UNIT1, 0, 90, 0, 0.02, 0.3178, 0.3149
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_7B, 6H23pi_7_UNIT2, 0, 90, 0, 0.02, 0.2016, 0.2012
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_8A, 6H23pi_8_UNIT1, 0, 90, 0, 0.02, 0.7372, 0.7172
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_8B, 6H23pi_8_UNIT2, 0, 90, 0, 0.02, 0.2192, 0.2168
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_9A, 6H23pi_9_UNIT1, 0, 90, 0, 0.02, 0.4809, 0.25
6H23pi_12B, 6H23pi_12_UNIT2, 6H23pi_9B, 6H23pi_9_UNIT2, 0, 90, 0, 0.02, 0.4673, 0.2144
6H23pi_1A, 6H23pi_1_UNIT1, 6H23pi_1B, 6H23pi-1_LARGEGREYPLATE_UNIT2, 0, 90, 0, 0.02, 0.406, 0.3875
