Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
6H23pi_10A, 6H23pi_10_UNIT1, 90, 0.015, -1.438, 0.01218, 0.0003816, 31.91, NA
6H23pi_10B, 6H23pi_10_UNIT2, 90, 0.015, -1.37, 0.01165, 0.000304, 38.32, NA
6H23pi_11A, 6H23pi_11_UNIT1, 90, 0.015, -0.9722, 0.01295, 0.000406, 31.9, NA
6H23pi_11B, 6H23pi_11_UNIT2, 90, 0.015, -1.116, 0.01134, 0.000432, 26.25, NA
6H23pi_12A, 6H23pi_12_UNIT1, 90, 0.015, -1.295, 0.01234, 0.000288, 42.85, NA
6H23pi_12B, 6H23pi_12_UNIT2, 90, 0.015, -1.067, 0.01079, 0.000406, 26.58, NA
6H23pi_1A, 6H23pi_1_UNIT1, 90, 0.015, -1.135, 0.011, 0.00024, 45.83, NA
6H23pi_1B, 6H23pi-1_LARGEGREYPLATE_UNIT2, 90, 0.015, -0.9408, 0.01314, 0.000382, 34.41, NA
6H23pi_2A, 6H23pi_2_UNIT1, 90, 0.015, -1.446, 0.01097, 0.0003429, 31.99, NA
6H23pi_2B, 6H23pi_2_LARGEGREYPLATE_UNIT2, 90, 0.015, -1.35, 0.00996, 0.00028, 35.57, NA
6H23pi_3A, 6H23pi_3_UNIT1, 90, 0.015, -1.36, 0.01156, 0.000294, 39.32, NA
6H23pi_3B, 6H23pi_3_LARGEGREYPLATE_UNIT2, 90, 0.015, -1.24, 0.01099, 0.00027, 40.7, NA
6H23pi_4A, 6H23pi_4_UNIT1, 90, 0.015, -1.064, 0.01057, 0.000226, 46.77, NA
6H23pi_4B, 6H23pi_4_UNIT2, 90, 0.015, -1.266, 0.01112, 0.000274, 40.58, NA
6H23pi_5A, 6H23pi_5_UNIT1, 90, 0.015, -1.107, 0.01135, 0.0004, 28.38, NA
6H23pi_5B, 6H23pi_5_UNIT2, 90, 0.015, -1.228, 0.0119, 0.000254, 46.85, NA
6H23pi_6A, 6H23pi_6_UNIT1, 90, 0.015, -0.951, 0.01446, 0.000386, 37.46, NA
6H23pi_6B, 6H23pi_6_UNIT2, 90, 0.015, -1.259, 0.01225, 0.000258, 47.48, NA
6H23pi_7A, 6H23pi_7_UNIT1, 90, 0.015, -0.9505, 0.01221, 0.00035, 34.9, NA
6H23pi_7B, 6H23pi_7_UNIT2, 90, 0.015, -1.015, 0.01024, 0.000291, 35.17, NA
6H23pi_8A, 6H23pi_8_UNIT1, 90, 0.015, -0.817, 0.009217, 0.00027, 34.14, NA
6H23pi_8B, 6H23pi_8_UNIT2, 90, 0.015, -0.8789, 0.01057, 0.000302, 35, NA
6H23pi_9A, 6H23pi_9_UNIT1, 90, 0.015, -1.431, 0.01115, 0.0003408, 32.71, NA
6H23pi_9B, 6H23pi_9_UNIT2, 90, 0.015, -1.51, 0.0121, 0.00036, 33.61, NA
