Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
801A_1, 801A_1, 801A_2, 801A_2, 50, 600, 0.001, 0.03, 2.14, 1.491
801A_1, 801A_1, 801A_3, 801A_3, 50, 600, 0.001, 0.03, 2.41, 1.528
801A_1, 801A_1, 801A_4, 801A_4, 50, 600, 0.001, 0.03, 1.367, 1.225
801A_1, 801A_1, 801A_5, 801A_5, 50, 600, 0.001, 0.03, 1.764, 1.226
801A_1, 801A_1, 801A_6, 801A_6, 50, 600, 0.001, 0.03, 2.366, 2.075
801A_1, 801A_1, 801A_7, 801A_7, 50, 600, 0.001, 0.03, 2.801, 1.792
801A_1, 801A_1, 801A_8, 801A_8, 50, 600, 0.001, 0.03, 1.866, 1.838
801A_2, 801A_2, 801A_3, 801A_3, 50, 600, 0.001, 0.03, 0.7418, 0.6658
801A_2, 801A_2, 801A_4, 801A_4, 50, 600, 0.001, 0.03, 1.227, 0.7879
801A_2, 801A_2, 801A_5, 801A_5, 50, 600, 0.001, 0.03, 0.844, 0.8012
801A_2, 801A_2, 801A_6, 801A_6, 50, 600, 0.001, 0.03, 2.464, 2.431
801A_2, 801A_2, 801A_7, 801A_7, 50, 600, 0.001, 0.03, 1.072, 0.8626
801A_2, 801A_2, 801A_8, 801A_8, 50, 600, 0.001, 0.03, 2.06, 1.655
801A_3, 801A_3, 801A_4, 801A_4, 50, 600, 0.001, 0.03, 1.532, 0.8973
801A_3, 801A_3, 801A_5, 801A_5, 50, 600, 0.001, 0.03, 1.042, 0.8654
801A_3, 801A_3, 801A_6, 801A_6, 50, 600, 0.001, 0.03, 2.533, 2.425
801A_3, 801A_3, 801A_7, 801A_7, 50, 600, 0.001, 0.03, 1.238, 1.196
801A_3, 801A_3, 801A_8, 801A_8, 50, 600, 0.001, 0.03, 2.211, 1.578
801A_4, 801A_4, 801A_5, 801A_5, 50, 600, 0.001, 0.03, 0.8699, 0.5777
801A_4, 801A_4, 801A_6, 801A_6, 50, 600, 0.001, 0.03, 2.503, 2.45
801A_4, 801A_4, 801A_7, 801A_7, 50, 600, 0.001, 0.03, 1.844, 0.9913
801A_4, 801A_4, 801A_8, 801A_8, 50, 600, 0.001, 0.03, 1.659, 1.627
801A_5, 801A_5, 801A_6, 801A_6, 50, 600, 0.001, 0.03, 2.509, 2.503
801A_5, 801A_5, 801A_7, 801A_7, 50, 600, 0.001, 0.03, 1.33, 0.9789
801A_5, 801A_5, 801A_8, 801A_8, 50, 600, 0.001, 0.03, 1.73, 1.435
801A_6, 801A_6, 801A_7, 801A_7, 50, 600, 0.001, 0.03, 2.523, 2.281
801A_6, 801A_6, 801A_8, 801A_8, 50, 600, 0.001, 0.03, 2.12, 1.955
801A_7, 801A_7, 801A_8, 801A_8, 50, 600, 0.001, 0.03, 2.422, 1.537
