Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
E180F_1, E180F_1, E180F_2, E180F_2, 50, 400, 0.001, 0.025, 0.3309, 0.3304
E180F_1, E180F_1, E180F_3, E180F_3, 50, 400, 0.001, 0.025, 0.4659, 0.4441
E180F_1, E180F_1, E180F_4, E180F_4, 50, 400, 0.001, 0.025, 0.4968, 0.3988
E180F_1, E180F_1, E180F_5, E180F_5, 50, 400, 0.001, 0.025, 0.5225, 0.409
E180F_2, E180F_2, E180F_3, E180F_3, 50, 400, 0.001, 0.025, 0.1988, 0.1496
E180F_2, E180F_2, E180F_4, E180F_4, 50, 400, 0.001, 0.025, 0.3817, 0.2668
E180F_2, E180F_2, E180F_5, E180F_5, 50, 400, 0.001, 0.025, 0.3559, 0.1821
E180F_3, E180F_3, E180F_4, E180F_4, 50, 400, 0.001, 0.025, 0.3602, 0.3251
E180F_3, E180F_3, E180F_5, E180F_5, 50, 400, 0.001, 0.025, 0.2572, 0.1882
E180F_4, E180F_4, E180F_5, E180F_5, 50, 400, 0.001, 0.025, 0.2671, 0.2657
