Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
E180F_10, E180F_10, 200, 0.01, -2.421, 0.01417, 0.0002538, 55.82, NA
E180F_11, E180F_11, 200, 0.01, -2.383, 0.01466, 0.0002604, 56.29, NA
E180F_12, E180F_12, 200, 0.01, -3.022, 0.01182, 0.0002893, 40.87, NA
E180F_1, E180F_1, 200, 0.01, -2.684, 0.01406, 0.0003197, 43.98, NA
E180F_2, E180F_2, 200, 0.01, -2.754, 0.01443, 0.0002917, 49.47, NA
E180F_3, E180F_3, 200, 0.01, -2.87, 0.01446, 0.0003075, 47.03, NA
E180F_4, E180F_4, 200, 0.01, -2.973, 0.01214, 0.0002815, 43.12, NA
E180F_5, E180F_5, 200, 0.01, -3.01, 0.01148, 1.684e-07, 6.817e+04, NA
E180F_6, E180F_6, 200, 0.01, -2.54, 0.01306, 0.0002943, 44.37, NA
E180F_7, E180F_7, 200, 0.01, -2.972, 0.01214, 0.0002636, 46.07, NA
E180F_8, E180F_8, 200, 0.01, -3.221, 0.01312, 0.0002514, 52.19, NA
E180F_9, E180F_9, 200, 0.01, -2.429, 0.01479, 0.0002988, 49.5, NA
