Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
ECC88_10A, ECC88_10_SIEMENS_UNIT1, 90, 0.015, -1.13, 0.01122, 0.000354, 31.69, NA
ECC88_10B, ECC88_10_SIEMENS_UNIT2, 90, 0.015, -1.064, 0.01063, 0.000343, 30.99, NA
ECC88_11A, ECC88_11_SIEMENS_UNIT1, 90, 0.015, -1.185, 0.0111, 0.000348, 31.9, NA
ECC88_11B, ECC88_11_SIEMENS_UNIT2, 90, 0.015, -1.196, 0.01151, 0.000314, 36.66, NA
ECC88_12A, ECC88_12_SIEMENS_UNIT1, 90, 0.015, -1.063, 0.01076, 0.000354, 30.4, NA
ECC88_12B, ECC88_12_SIEMENS_UNIT2, 90, 0.015, -0.9983, 0.01083, 0.000334, 32.43, NA
ECC88_13A, ECC88_13_SIEMENS_UNIT1, 90, 0.015, -1.116, 0.01079, 0.000302, 35.73, NA
ECC88_13B, ECC88_13_SIEMENS_UNIT2, 90, 0.015, -1.097, 0.01058, 0.0003353, 31.54, NA
ECC88_14A, ECC88_14_JJ_UNIT1, 90, 0.015, -1.436, 0.00981, 0.000356, 27.56, NA
ECC88_14B, ECC88_14_JJ_UNIT2, 90, 0.015, -1.217, 0.00929, 0.000344, 27.01, NA
ECC88_15A, ECC88_15_JJ_UNIT1, 90, 0.015, -1.469, 0.00992, 0.000322, 30.81, NA
ECC88_15B, ECC88_15_JJ_UNIT2, 90, 0.015, -1.364, 0.00957, 0.000378, 25.32, NA
ECC88_16A, ECC88_16_JJ_UNIT1, 90, 0.015, -1.442, 0.00997, 0.000313, 31.85, NA
ECC88_16B, ECC88_16_JJ_UNIT2, 90, 0.015, -1.434, 0.00977, 0.000382, 25.58, NA
ECC88_17A, ECC88_17_JJ_UNIT1, 90, 0.015, -1.271, 0.00921, 0.000328, 28.08, NA
ECC88_17B, ECC88_17_JJ_UNIT2, 90, 0.015, -1.317, 0.00921, 0.00035, 26.31, NA
ECC88_18A, ECC88_18_MULLARD_UNIT1, 90, 0.015, -1.683, 0.01217, 0.000332, 36.66, NA
ECC88_18B, ECC88_18_MULLARD_UNIT2, 90, 0.015, -1.666, 0.01211, 0.000332, 36.48, NA
ECC88_19A, ECC88_19_MULLARD_UNIT1, 90, 0.015, -1.571, 0.0105, 0.00032, 32.81, NA
ECC88_19B, ECC88_19_MULLARD_UNIT2, 90, 0.015, nan, 0.00584, 0.000188, 31.06, NA
ECC88_1A_NA, ECC88_1_AMPEREX_UNIT1, 90, 0.015, -0.9405, 0.01093, 0.00033, 33.12, NA
ECC88_20A, ECC88_20_MULLARD_UNIT1, 90, 0.015, -1.638, 0.01193, 0.00035, 34.09, NA
ECC88_20B, ECC88_20_MULLARD_UNIT2, 90, 0.015, -1.607, 0.01224, 0.000348, 35.17, NA
ECC88_21A, ECC88_21_MULLARD_UNIT1, 90, 0.015, -1.419, 0.0098, 0.000273, 35.9, NA
ECC88_21B, ECC88_21_MULLARD_UNIT2, 90, 0.015, -1.506, 0.01097, 0.000312, 35.16, NA
ECC88_22A, ECC88_22_MULLARD_UNIT1, 90, 0.015, -1.644, 0.01206, 0.00037, 32.59, NA
ECC88_22B, ECC88_22_MULLARD_UNIT2, 90, 0.015, -1.766, 0.0129, 0.00038, 33.95, NA
ECC88_23A, ECC88_23_SOVTEK_UNIT1, 90, 0.015, -1.23, 0.01102, 0.000292, 37.74, NA
ECC88_23B, ECC88_23_SOVTEK_UNIT2, 90, 0.015, -1.23, 0.0109, 0.00038, 28.68, NA
ECC88_2A_NA, ECC88_2_AMPEREX_UNIT1, 90, 0.015, -1.032, 0.0098, 0.000231, 42.42, NA
ECC88_2B_NA, ECC88_2_AMPEREX_UNIT2, 90, 0.015, -0.8082, 0.01142, 0.00031, 36.84, NA
ECC88_3A_NA, ECC88_3_AMPEREX_UNIT1, 90, 0.015, -0.9567, 0.01248, 0.000348, 35.86, NA
ECC88_3B_NA, ECC88_3_AMPEREX_UNIT2, 90, 0.015, -1.009, 0.01, 0.000349, 28.65, NA
ECC88_4A_NA, ECC88_4_AMPEREX_UNIT1, 90, 0.015, -0.9371, 0.01224, 0.000342, 35.79, NA
ECC88_4B_NA, ECC88_4_AMPEREX_UNIT2, 90, 0.015, -0.9568, 0.01251, 0.000342, 36.58, NA
ECC88_5A, ECC88_5_PHILIPS-SQ_UNIT1, 90, 0.015, -1.246, 0.01108, 0.000341, 32.49, NA
ECC88_5B, ECC88_5_PHILIPS-SQ_UNIT2, 90, 0.015, -1.299, 0.01149, 0.000362, 31.74, NA
ECC88_6A, ECC88_6_PHILIPS-SQ_UNIT1, 90, 0.015, -1.114, 0.01054, 0.000364, 28.96, NA
ECC88_6B, ECC88_6_PHILIPS-SQ_UNIT2, 90, 0.015, -1.23, 0.01088, 0.000325, 33.48, NA
ECC88_7A, ECC88_7_PHILIPS-SQ_UNIT1, 90, 0.015, -1.109, 0.01052, 0.000354, 29.72, NA
ECC88_7B, ECC88_7_PHILIPS-SQ_UNIT2, 90, 0.015, -1.268, 0.01148, 0.000339, 33.86, NA
ECC88_8A, ECC88_8_PHILIPS-SQ_UNIT1, 90, 0.015, -1.337, 0.01184, 0.00035, 33.83, NA
ECC88_8B, ECC88_8_PHILIPS-SQ_UNIT2, 90, 0.015, -1.396, 0.01184, 0.000357, 33.17, NA
ECC88_9A, ECC88_9_PHILIPS-SQ_UNIT1, 90, 0.015, -1.097, 0.0108, 0.000373, 28.95, NA
ECC88_9B, ECC88_9_PHILIPS-SQ_UNIT2, 90, 0.015, -1.09, 0.01081, 0.000378, 28.6, NA
