Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, 0, 450, 0, 0.15, 3.741, 3.329
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, 0, 450, 0, 0.15, 3.135, 3.066
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_12_NA, EL34_12_SIEMENS-DIMPLETOP, 0, 450, 0, 0.15, 2.995, 2.888
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_13_NA, EL34_13_MULLARD-xf2, 0, 450, 0, 0.15, 4.105, 3.667
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_14_NA, EL34_14_MULLARD-xf2, 0, 450, 0, 0.15, 4.049, 4.025
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_15_NA, EL34_15_MULLARD-xf2, 0, 450, 0, 0.15, 3.786, 3.302
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_16_NA, EL34_16_MULLARD-xf2, 0, 450, 0, 0.15, 4.325, 3.406
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_2, EL34_2_MULLARD-RUSSIA, 0, 450, 0, 0.15, 2.533, 2.51
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_3, EL34_3_MULLARD-RUSSIA, 0, 450, 0, 0.15, 4.341, 4.255
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_4, EL34_4_MULLARD-RUSSIA, 0, 450, 0, 0.15, 4.012, 4.001
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_5, EL34_5_EHX-RUSSIA, 0, 450, 0, 0.15, 3.189, 3.111
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_6, EL34_6_EHX-RUSSIA, 0, 450, 0, 0.15, 2.969, 2.914
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_7, EL34_7_EHX-RUSSIA, 0, 450, 0, 0.15, 2.792, 2.727
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_8, EL34_8_EHX-RUSSIA, 0, 450, 0, 0.15, 4.079, 3.884
EL34_1, EL34_1_MULLARD-RUSSIA, EL34_9_NA, EL34_9_SIEMENS-DIMPLETOP, 0, 450, 0, 0.15, 3.033, 3.016
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, 0, 450, 0, 0.15, 3.125, 2.071
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_12_NA, EL34_12_SIEMENS-DIMPLETOP, 0, 450, 0, 0.15, 2.089, 1.862
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_13_NA, EL34_13_MULLARD-xf2, 0, 450, 0, 0.15, 2.914, 2.899
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_14_NA, EL34_14_MULLARD-xf2, 0, 450, 0, 0.15, 3.684, 3.026
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_15_NA, EL34_15_MULLARD-xf2, 0, 450, 0, 0.15, 2.703, 2.695
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_16_NA, EL34_16_MULLARD-xf2, 0, 450, 0, 0.15, 2.887, 2.663
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_2, EL34_2_MULLARD-RUSSIA, 0, 450, 0, 0.15, 2.793, 2.005
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_3, EL34_3_MULLARD-RUSSIA, 0, 450, 0, 0.15, 4.406, 3.63
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_4, EL34_4_MULLARD-RUSSIA, 0, 450, 0, 0.15, 3.702, 3.184
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_5, EL34_5_EHX-RUSSIA, 0, 450, 0, 0.15, 3.229, 2.201
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_6, EL34_6_EHX-RUSSIA, 0, 450, 0, 0.15, 3.062, 2.078
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_7, EL34_7_EHX-RUSSIA, 0, 450, 0, 0.15, 3.083, 2.119
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_8, EL34_8_EHX-RUSSIA, 0, 450, 0, 0.15, 3.98, 2.7
EL34_10_NA, EL34_10_SIEMENS-DIMPLETOP, EL34_9_NA, EL34_9_SIEMENS-DIMPLETOP, 0, 450, 0, 0.15, 2.941, 2.633
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_12_NA, EL34_12_SIEMENS-DIMPLETOP, 0, 450, 0, 0.15, 2.217, 1.763
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_13_NA, EL34_13_MULLARD-xf2, 0, 450, 0, 0.15, 4.024, 3.159
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_14_NA, EL34_14_MULLARD-xf2, 0, 450, 0, 0.15, 2.481, 2.477
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_15_NA, EL34_15_MULLARD-xf2, 0, 450, 0, 0.15, 3.785, 2.914
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_16_NA, EL34_16_MULLARD-xf2, 0, 450, 0, 0.15, 4.803, 3.429
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_2, EL34_2_MULLARD-RUSSIA, 0, 450, 0, 0.15, 1.595, 1.56
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_3, EL34_3_MULLARD-RUSSIA, 0, 450, 0, 0.15, 3.554, 3.549
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_4, EL34_4_MULLARD-RUSSIA, 0, 450, 0, 0.15, 2.834, 2.8
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_5, EL34_5_EHX-RUSSIA, 0, 450, 0, 0.15, 1.365, 1.363
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_6, EL34_6_EHX-RUSSIA, 0, 450, 0, 0.15, 1.09, 1.089
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_7, EL34_7_EHX-RUSSIA, 0, 450, 0, 0.15, 1.171, 1.17
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_8, EL34_8_EHX-RUSSIA, 0, 450, 0, 0.15, 2.21, 2.118
EL34_11_NA, EL34_11_SIEMENS-DIMPLETOP, EL34_9_NA, EL34_9_SIEMENS-DIMPLETOP, 0, 450, 0, 0.15, 2.673, 2.509
EL34_12_NA, EL34_12_SIEMENS-DIMPLETOP, EL34_13_NA, EL34_13_MULLARD-xf2, 0, 450, 0, 0.15, 2.758, 2.51
