Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
EL34_1, EL34_1_MULLARD-RUSSIA, 350, 0.04, -31.03, 0.00565, 0.000451, 12.53, NA
EL34_1-old, EL34_1_MULLARDRUSSIA, 350, 0.04, -30.03, 0.004916, 0.000545, 9.02, NA
EL34_2, EL34_2_MULLARD-RUSSIA, 350, 0.04, -31.94, 0.006014, 0.000798, 7.536, NA
EL34_2-old, EL34_2_MULLARDRUSSIA, 350, 0.04, -30.97, 0.00517, 0.0005835, 8.86, NA
EL34_3, EL34_3_MULLARD-RUSSIA, 350, 0.04, -32.21, 0.006094, 0.00052, 11.72, NA
EL34_3-old, EL34_3_MULLARDRUSSIA, 350, 0.04, -31.18, 0.005186, 0.0005895, 8.797, NA
EL34_4, EL34_4_MULLARD-RUSSIA, 350, 0.04, -31.42, 0.00563, 0.000458, 12.29, NA
EL34_4-old, EL34_4_MULLARDRUSSIA, 350, 0.04, -30.57, 0.004954, 0.0005595, 8.854, NA
EL34_5, EL34_5_EHX-RUSSIA, 350, 0.04, -32.87, 0.006326, 0.000566, 11.18, NA
EL34_6, EL34_6_EHX-RUSSIA, 350, 0.04, -32.91, 0.006172, 0.000563, 10.96, NA
EL34_7, EL34_7_EHX-RUSSIA, 350, 0.04, -32.85, 0.006406, 0.000569, 11.26, NA
EL34_8, EL34_8_EHX-RUSSIA, 350, 0.04, -33.39, 0.006482, 0.000596, 10.88, NA
