Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
FQA12P20_1, FQA12P20_1, FQA12P20_10, FQA12P20_10, -26, -5, -5, 0, 0.01405, 0.004276
FQA12P20_1, FQA12P20_1, FQA12P20_12, FQA12P20_12, -26, -5, -5, 0, 0.32, 0.01952
FQA12P20_1, FQA12P20_1, FQA12P20_13, FQA12P20_13, -26, -5, -5, 0, 0.569, 0.0292
FQA12P20_1, FQA12P20_1, FQA12P20_14, FQA12P20_14, -26, -5, -5, 0, 0.5975, 0.01556
FQA12P20_1, FQA12P20_1, FQA12P20_15, FQA12P20_15, -26, -5, -5, 0, 0.6653, 0.01939
FQA12P20_1, FQA12P20_1, FQA12P20_16, FQA12P20_16, -26, -5, -5, 0, 0.5965, 0.02824
FQA12P20_1, FQA12P20_1, FQA12P20_2, FQA12P20_2, -26, -5, -5, 0, 0.0182, 0.00638
FQA12P20_1, FQA12P20_1, FQA12P20_5, FQA12P20_5, -26, -5, -5, 0, 0.01664, 0.006353
FQA12P20_1, FQA12P20_1, FQA12P20_9, FQA12P20_9, -26, -5, -5, 0, 0.02897, 0.007417
FQA12P20_10, FQA12P20_10, FQA12P20_12, FQA12P20_12, -26, -5, -5, 0, 0.334, 0.01759
FQA12P20_10, FQA12P20_10, FQA12P20_13, FQA12P20_13, -26, -5, -5, 0, 0.5829, 0.029
FQA12P20_10, FQA12P20_10, FQA12P20_14, FQA12P20_14, -26, -5, -5, 0, 0.6107, 0.01544
FQA12P20_10, FQA12P20_10, FQA12P20_15, FQA12P20_15, -26, -5, -5, 0, 0.6781, 0.0206
FQA12P20_10, FQA12P20_10, FQA12P20_16, FQA12P20_16, -26, -5, -5, 0, 0.6096, 0.02816
FQA12P20_10, FQA12P20_10, FQA12P20_2, FQA12P20_2, -26, -5, -5, 0, 0.006461, 0.005293
FQA12P20_10, FQA12P20_10, FQA12P20_5, FQA12P20_5, -26, -5, -5, 0, 0.00663, 0.006427
FQA12P20_10, FQA12P20_10, FQA12P20_9, FQA12P20_9, -26, -5, -5, 0, 0.01529, 0.006397
FQA12P20_12, FQA12P20_12, FQA12P20_13, FQA12P20_13, -26, -5, -5, 0, 0.2508, 0.02521
FQA12P20_12, FQA12P20_12, FQA12P20_14, FQA12P20_14, -26, -5, -5, 0, 0.279, 0.01978
FQA12P20_12, FQA12P20_12, FQA12P20_15, FQA12P20_15, -26, -5, -5, 0, 0.3496, 0.02854
FQA12P20_12, FQA12P20_12, FQA12P20_16, FQA12P20_16, -26, -5, -5, 0, 0.2785, 0.02897
FQA12P20_12, FQA12P20_12, FQA12P20_2, FQA12P20_2, -26, -5, -5, 0, 0.3386, 0.02009
FQA12P20_12, FQA12P20_12, FQA12P20_5, FQA12P20_5, -26, -5, -5, 0, 0.3353, 0.01795
FQA12P20_12, FQA12P20_12, FQA12P20_9, FQA12P20_9, -26, -5, -5, 0, 0.348, 0.01535
FQA12P20_13, FQA12P20_13, FQA12P20_14, FQA12P20_14, -26, -5, -5, 0, 0.03377, 0.01575
FQA12P20_13, FQA12P20_13, FQA12P20_15, FQA12P20_15, -26, -5, -5, 0, 0.1088, 0.02379
FQA12P20_13, FQA12P20_13, FQA12P20_16, FQA12P20_16, -26, -5, -5, 0, 0.03149, 0.008275
FQA12P20_13, FQA12P20_13, FQA12P20_2, FQA12P20_2, -26, -5, -5, 0, 0.5868, 0.03275
FQA12P20_13, FQA12P20_13, FQA12P20_5, FQA12P20_5, -26, -5, -5, 0, 0.5844, 0.02412
FQA12P20_13, FQA12P20_13, FQA12P20_9, FQA12P20_9, -26, -5, -5, 0, 0.5974, 0.02424
FQA12P20_14, FQA12P20_14, FQA12P20_15, FQA12P20_15, -26, -5, -5, 0, 0.073, 0.01538
FQA12P20_14, FQA12P20_14, FQA12P20_16, FQA12P20_16, -26, -5, -5, 0, 0.01441, 0.0144
FQA12P20_14, FQA12P20_14, FQA12P20_2, FQA12P20_2, -26, -5, -5, 0, 0.6144, 0.02011
FQA12P20_14, FQA12P20_14, FQA12P20_5, FQA12P20_5, -26, -5, -5, 0, 0.6129, 0.01197
FQA12P20_14, FQA12P20_14, FQA12P20_9, FQA12P20_9, -26, -5, -5, 0, 0.6256, 0.01307
FQA12P20_15, FQA12P20_15, FQA12P20_16, FQA12P20_16, -26, -5, -5, 0, 0.07834, 0.02043
FQA12P20_15, FQA12P20_15, FQA12P20_2, FQA12P20_2, -26, -5, -5, 0, 0.6812, 0.02428
FQA12P20_15, FQA12P20_15, FQA12P20_5, FQA12P20_5, -26, -5, -5, 0, 0.6825, 0.01849
FQA12P20_15, FQA12P20_15, FQA12P20_9, FQA12P20_9, -26, -5, -5, 0, 0.6951, 0.02075
FQA12P20_16, FQA12P20_16, FQA12P20_2, FQA12P20_2, -26, -5, -5, 0, 0.6133, 0.03238
FQA12P20_16, FQA12P20_16, FQA12P20_5, FQA12P20_5, -26, -5, -5, 0, 0.612, 0.02333
FQA12P20_16, FQA12P20_16, FQA12P20_9, FQA12P20_9, -26, -5, -5, 0, 0.6247, 0.02444
FQA12P20_2, FQA12P20_2, FQA12P20_5, FQA12P20_5, -26, -5, -5, 0, 0.009974, 0.009742
FQA12P20_2, FQA12P20_2, FQA12P20_9, FQA12P20_9, -26, -5, -5, 0, 0.01365, 0.00925
FQA12P20_5, FQA12P20_5, FQA12P20_9, FQA12P20_9, -26, -5, -5, 0, 0.01303, 0.003706
