Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
FQA12P20_10, FQA12P20_10, -24, -1, -4.771, 3.33, 0.02467, 135, 50.25
FQA12P20_12, FQA12P20_12, -24, -1, -5.109, 3.066, 0.01529, 200.5, 50.25
FQA12P20_13, FQA12P20_13, -24, -1, -5.373, 2.71, 0.01568, 172.9, 50.38
FQA12P20_14, FQA12P20_14, -24, -1, -5.4, 2.971, 0.01632, 182.1, 50.44
FQA12P20_15, FQA12P20_15, -24, -1, -5.463, 2.991, 0.01765, 169.5, 50.44
FQA12P20_16, FQA12P20_16, -24, -1, -5.408, 2.716, 0.01473, 184.4, 50.44
FQA12P20_1, FQA12P20_1, -24, -1, -4.782, 3.246, 0.02463, 131.8, 50.25
FQA12P20_2, FQA12P20_2, -24, -1, -4.757, 3.377, 0.03473, 97.23, 50.38
FQA12P20_5, FQA12P20_5, -24, -1, -4.77, 3.211, 0.02592, 123.9, 50.38
FQA12P20_9, FQA12P20_9, -24, -1, -4.754, 3.199, 0.01844, 173.4, 50.31
