

***** curveprocess (pypsucurvetrace)
***** Extract and calculate parameters from pypsucurvetrace data
***** Disclaimer: NO WARRANTIES OF ANY KIND! Users are advised to study the code in order to understand how this program works.


Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
FQA16N25C_1, FQA16N25C_1, FQA16N25C_2, FQA16N25C_2, 5, 26, 0, 5, 0.02743, 0.008637
FQA16N25C_1, FQA16N25C_1, FQA16N25C_3, FQA16N25C_3, 5, 26, 0, 5, 0.03571, 0.007905
FQA16N25C_1, FQA16N25C_1, FQA16N25C_4, FQA16N25C_4, 5, 26, 0, 5, 0.03297, 0.009624
FQA16N25C_1, FQA16N25C_1, FQA16N25C_5, FQA16N25C_5, 5, 26, 0, 5, 0.01754, 0.006568
FQA16N25C_1, FQA16N25C_1, FQA16N25C_6, FQA16N25C_6, 5, 26, 0, 5, 0.01676, 0.004939
FQA16N25C_1, FQA16N25C_1, FQA16N25C_7, FQA16N25C_7, 5, 26, 0, 5, 0.05272, 0.02432
FQA16N25C_1, FQA16N25C_1, FQA16N25C_8, FQA16N25C_8, 5, 26, 0, 5, 0.0478, 0.01705
FQA16N25C_2, FQA16N25C_2, FQA16N25C_3, FQA16N25C_3, 5, 26, 0, 5, 0.01099, 0.006422
FQA16N25C_2, FQA16N25C_2, FQA16N25C_4, FQA16N25C_4, 5, 26, 0, 5, 0.007364, 0.004793
FQA16N25C_2, FQA16N25C_2, FQA16N25C_5, FQA16N25C_5, 5, 26, 0, 5, 0.01043, 0.00401
FQA16N25C_2, FQA16N25C_2, FQA16N25C_6, FQA16N25C_6, 5, 26, 0, 5, 0.01083, 0.004239
FQA16N25C_2, FQA16N25C_2, FQA16N25C_7, FQA16N25C_7, 5, 26, 0, 5, 0.02768, 0.01693
FQA16N25C_2, FQA16N25C_2, FQA16N25C_8, FQA16N25C_8, 5, 26, 0, 5, 0.02133, 0.008951
FQA16N25C_3, FQA16N25C_3, FQA16N25C_4, FQA16N25C_4, 5, 26, 0, 5, 0.00515, 0.003964
FQA16N25C_3, FQA16N25C_3, FQA16N25C_5, FQA16N25C_5, 5, 26, 0, 5, 0.01915, 0.00503
FQA16N25C_3, FQA16N25C_3, FQA16N25C_6, FQA16N25C_6, 5, 26, 0, 5, 0.01939, 0.004896
FQA16N25C_3, FQA16N25C_3, FQA16N25C_7, FQA16N25C_7, 5, 26, 0, 5, 0.02404, 0.02084
FQA16N25C_3, FQA16N25C_3, FQA16N25C_8, FQA16N25C_8, 5, 26, 0, 5, 0.01635, 0.01314
FQA16N25C_4, FQA16N25C_4, FQA16N25C_5, FQA16N25C_5, 5, 26, 0, 5, 0.01573, 0.004269
FQA16N25C_4, FQA16N25C_4, FQA16N25C_6, FQA16N25C_6, 5, 26, 0, 5, 0.01634, 0.005304
FQA16N25C_4, FQA16N25C_4, FQA16N25C_7, FQA16N25C_7, 5, 26, 0, 5, 0.02372, 0.01767
FQA16N25C_4, FQA16N25C_4, FQA16N25C_8, FQA16N25C_8, 5, 26, 0, 5, 0.01679, 0.01018
FQA16N25C_5, FQA16N25C_5, FQA16N25C_6, FQA16N25C_6, 5, 26, 0, 5, 0.002164, 0.002141
FQA16N25C_5, FQA16N25C_5, FQA16N25C_7, FQA16N25C_7, 5, 26, 0, 5, 0.03621, 0.01905
FQA16N25C_5, FQA16N25C_5, FQA16N25C_8, FQA16N25C_8, 5, 26, 0, 5, 0.03084, 0.0116
FQA16N25C_6, FQA16N25C_6, FQA16N25C_7, FQA16N25C_7, 5, 26, 0, 5, 0.03714, 0.02028
FQA16N25C_6, FQA16N25C_6, FQA16N25C_8, FQA16N25C_8, 5, 26, 0, 5, 0.03157, 0.01271
FQA16N25C_7, FQA16N25C_7, FQA16N25C_8, FQA16N25C_8, 5, 26, 0, 5, 0.009528, 0.00895
