Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
KT66_10, KT66_10, KT66_27, KT66_27_GT, 0, 450, 0, 0.15, 4.483, 3.278
KT66_10, KT66_10, KT66_28, KT66_28_GT, 0, 450, 0, 0.15, 4.388, 3.582
KT66_10, KT66_10, KT66_29, KT66_29_GT, 0, 450, 0, 0.15, 3.644, 2.933
KT66_10, KT66_10, KT66_30, KT66_30_GT, 0, 450, 0, 0.15, 3.786, 2.908
KT66_10, KT66_10, KT66_31, KT66_31, 0, 450, 0, 0.15, 1.977, 1.953
KT66_10, KT66_10, KT66_33, KT66_33_GEC, 0, 450, 0, 0.15, 3.495, 2.681
KT66_10, KT66_10, KT66_34, KT66_34_GEC, 0, 450, 0, 0.15, 4.715, 3.128
KT66_10, KT66_10, KT66_9, KT66_9, 0, 450, 0, 0.15, 2.509, 2.24
KT66_27, KT66_27_GT, KT66_28, KT66_28_GT, 0, 450, 0, 0.15, 1.214, 1.06
KT66_27, KT66_27_GT, KT66_29, KT66_29_GT, 0, 450, 0, 0.15, 1.183, 0.6932
KT66_27, KT66_27_GT, KT66_30, KT66_30_GT, 0, 450, 0, 0.15, 1.026, 0.7768
KT66_27, KT66_27_GT, KT66_31, KT66_31, 0, 450, 0, 0.15, 3.666, 2.398
KT66_27, KT66_27_GT, KT66_33, KT66_33_GEC, 0, 450, 0, 0.15, 1.188, 0.8512
KT66_27, KT66_27_GT, KT66_34, KT66_34_GEC, 0, 450, 0, 0.15, 0.7363, 0.5289
KT66_27, KT66_27_GT, KT66_9, KT66_9, 0, 450, 0, 0.15, 2.958, 2.258
KT66_28, KT66_28_GT, KT66_29, KT66_29_GT, 0, 450, 0, 0.15, 1.444, 1.382
KT66_28, KT66_28_GT, KT66_30, KT66_30_GT, 0, 450, 0, 0.15, 1.399, 1.391
KT66_28, KT66_28_GT, KT66_31, KT66_31, 0, 450, 0, 0.15, 3.496, 2.677
KT66_28, KT66_28_GT, KT66_33, KT66_33_GEC, 0, 450, 0, 0.15, 1.504, 1.477
KT66_28, KT66_28_GT, KT66_34, KT66_34_GEC, 0, 450, 0, 0.15, 1.598, 1.162
KT66_28, KT66_28_GT, KT66_9, KT66_9, 0, 450, 0, 0.15, 2.914, 2.55
KT66_29, KT66_29_GT, KT66_30, KT66_30_GT, 0, 450, 0, 0.15, 0.5573, 0.4899
KT66_29, KT66_29_GT, KT66_31, KT66_31, 0, 450, 0, 0.15, 2.798, 2.111
KT66_29, KT66_29_GT, KT66_33, KT66_33_GEC, 0, 450, 0, 0.15, 0.7276, 0.7144
KT66_29, KT66_29_GT, KT66_34, KT66_34_GEC, 0, 450, 0, 0.15, 1.612, 0.7085
KT66_29, KT66_29_GT, KT66_9, KT66_9, 0, 450, 0, 0.15, 2.285, 2.054
KT66_30, KT66_30_GT, KT66_31, KT66_31, 0, 450, 0, 0.15, 3.058, 2.192
KT66_30, KT66_30_GT, KT66_33, KT66_33_GEC, 0, 450, 0, 0.15, 0.8588, 0.8438
KT66_30, KT66_30_GT, KT66_34, KT66_34_GEC, 0, 450, 0, 0.15, 1.443, 0.8306
KT66_30, KT66_30_GT, KT66_9, KT66_9, 0, 450, 0, 0.15, 2.419, 2.061
KT66_31, KT66_31, KT66_33, KT66_33_GEC, 0, 450, 0, 0.15, 2.575, 1.68
KT66_31, KT66_31, KT66_34, KT66_34_GEC, 0, 450, 0, 0.15, 3.907, 2.191
KT66_31, KT66_31, KT66_9, KT66_9, 0, 450, 0, 0.15, 1.663, 1.443
KT66_33, KT66_33_GEC, KT66_34, KT66_34_GEC, 0, 450, 0, 0.15, 1.465, 0.646
KT66_33, KT66_33_GEC, KT66_9, KT66_9, 0, 450, 0, 0.15, 1.969, 1.625
KT66_34, KT66_34_GEC, KT66_9, KT66_9, 0, 450, 0, 0.15, 3.141, 2.073
