Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
LD1014D_10_NA, LD1014D_10, LD1014D_11, LD1014D_11, --, --, --, --, 0.594, 0.0922
LD1014D_15_NA, LD1014D_15, LD1014D_16, LD1014D_16, --, --, --, --, 0.2153, 0.03022
LD1014D_161, LD1014D_161, LD1014D_162, LD1014D_162, --, --, --, --, 0.1251, 0.02145
LD1014D_184_NA, LD1014D_184, LD1014D_185, LD1014D_185, --, --, --, --, 0.1646, 0.02122
LD1014D_200, LD1014D_200, LD1014D_201, LD1014D_201, --, --, --, --, 0.2589, 0.04938
LD1014D_200, LD1014D_200, LD1014D_202_NA, LD1014D_202, --, --, --, --, 0.3605, 0.0537
LD1014D_200, LD1014D_200, LD1014D_203, LD1014D_203, --, --, --, --, 0.242, 0.04276
LD1014D_200, LD1014D_200, LD1014D_204_NA, LD1014D_204, --, --, --, --, 0.2916, 0.05129
LD1014D_200, LD1014D_200, LD1014D_206, LD1014D_206, --, --, --, --, 0.3331, 0.05235
LD1014D_200, LD1014D_200, LD1014D_207_NA, LD1014D_207, --, --, --, --, 0.3836, 0.01582
LD1014D_200, LD1014D_200, LD1014D_208_NA, LD1014D_208, --, --, --, --, 0.3009, 0.05515
LD1014D_200, LD1014D_200, LD1014D_209, LD1014D_209, --, --, --, --, 0.3488, 0.05308
LD1014D_201, LD1014D_201, LD1014D_202_NA, LD1014D_202, --, --, --, --, 0.1958, 0.03373
LD1014D_201, LD1014D_201, LD1014D_203, LD1014D_203, --, --, --, --, 0.01969, 0.01068
LD1014D_201, LD1014D_201, LD1014D_204_NA, LD1014D_204, --, --, --, --, 0.0429, 0.009076
LD1014D_201, LD1014D_201, LD1014D_206, LD1014D_206, --, --, --, --, 0.09743, 0.0174
LD1014D_201, LD1014D_201, LD1014D_207_NA, LD1014D_207, --, --, --, --, 0.2574, 0.04641
LD1014D_201, LD1014D_201, LD1014D_208_NA, LD1014D_208, --, --, --, --, 0.06087, 0.01682
LD1014D_201, LD1014D_201, LD1014D_209, LD1014D_209, --, --, --, --, 0.1703, 0.03133
LD1014D_202_NA, LD1014D_202, LD1014D_203, LD1014D_203, --, --, --, --, 0.2042, 0.04047
LD1014D_202_NA, LD1014D_202, LD1014D_204_NA, LD1014D_204, --, --, --, --, 0.1487, 0.03302
LD1014D_202_NA, LD1014D_202, LD1014D_206, LD1014D_206, --, --, --, --, 0.09641, 0.02595
LD1014D_202_NA, LD1014D_202, LD1014D_207_NA, LD1014D_207, --, --, --, --, 0.06824, 0.01973
LD1014D_202_NA, LD1014D_202, LD1014D_208_NA, LD1014D_208, --, --, --, --, 0.1366, 0.02763
LD1014D_202_NA, LD1014D_202, LD1014D_209, LD1014D_209, --, --, --, --, 0.02582, 0.01009
LD1014D_203, LD1014D_203, LD1014D_204_NA, LD1014D_204, --, --, --, --, 0.05901, 0.01288
LD1014D_203, LD1014D_203, LD1014D_206, LD1014D_206, --, --, --, --, 0.1108, 0.02169
LD1014D_203, LD1014D_203, LD1014D_207_NA, LD1014D_207, --, --, --, --, 0.2626, 0.05133
LD1014D_203, LD1014D_203, LD1014D_208_NA, LD1014D_208, --, --, --, --, 0.07538, 0.02481
LD1014D_203, LD1014D_203, LD1014D_209, LD1014D_209, --, --, --, --, 0.1796, 0.03687
LD1014D_204_NA, LD1014D_204, LD1014D_206, LD1014D_206, --, --, --, --, 0.05367, 0.01188
LD1014D_204_NA, LD1014D_204, LD1014D_207_NA, LD1014D_207, --, --, --, --, 0.2072, 0.04345
LD1014D_204_NA, LD1014D_204, LD1014D_208_NA, LD1014D_208, --, --, --, --, 0.02332, 0.01795
LD1014D_204_NA, LD1014D_204, LD1014D_209, LD1014D_209, --, --, --, --, 0.124, 0.02893
LD1014D_206, LD1014D_206, LD1014D_207_NA, LD1014D_207, --, --, --, --, 0.1559, 0.03686
LD1014D_206, LD1014D_206, LD1014D_208_NA, LD1014D_208, --, --, --, --, 0.04187, 0.01894
LD1014D_206, LD1014D_206, LD1014D_209, LD1014D_209, --, --, --, --, 0.0729, 0.02191
LD1014D_207_NA, LD1014D_207, LD1014D_208_NA, LD1014D_208, --, --, --, --, 0.1969, 0.03632
LD1014D_207_NA, LD1014D_207, LD1014D_209, LD1014D_209, --, --, --, --, 0.08854, 0.02414
LD1014D_208_NA, LD1014D_208, LD1014D_209, LD1014D_209, --, --, --, --, 0.1127, 0.02153
LD1014D_210, LD1014D_210, LD1014D_211, LD1014D_211, --, --, --, --, 0.06823, 0.02253
LD1014D_210, LD1014D_210, LD1014D_212, LD1014D_212, --, --, --, --, 0.0488, 0.01039
LD1014D_210, LD1014D_210, LD1014D_213_NA, LD1014D_213, --, --, --, --, 0.07441, 0.01887
LD1014D_210, LD1014D_210, LD1014D_214_NA, LD1014D_214, --, --, --, --, 0.1301, 0.03325
LD1014D_210, LD1014D_210, LD1014D_215, LD1014D_215, --, --, --, --, 0.06417, 0.01484
LD1014D_210, LD1014D_210, LD1014D_216, LD1014D_216, --, --, --, --, 0.2497, 0.04003
LD1014D_210, LD1014D_210, LD1014D_217, LD1014D_217, --, --, --, --, 0.3207, 0.04963
LD1014D_210, LD1014D_210, LD1014D_218_NA, LD1014D_218, --, --, --, --, 0.07555, 0.02312
LD1014D_210, LD1014D_210, LD1014D_219, LD1014D_219, --, --, --, --, 0.111, 0.02231
LD1014D_210, LD1014D_210, LD1014D_220, LD1014D_220, --, --, --, --, 0.0923, 0.02596
LD1014D_210, LD1014D_210, LD1014D_221, LD1014D_221, --, --, --, --, 0.098, 0.01841
LD1014D_210, LD1014D_210, LD1014D_222_NA, LD1014D_222, --, --, --, --, 0.005582, 0.001669
LD1014D_210, LD1014D_210, LD1014D_223_NA, LD1014D_223, --, --, --, --, 0.1961, 0.0321
LD1014D_210, LD1014D_210, LD1014D_224, LD1014D_224, --, --, --, --, 0.1885, 0.03049
LD1014D_210, LD1014D_210, LD1014D_225, LD1014D_225, --, --, --, --, 0.1408, 0.02707
LD1014D_210, LD1014D_210, LD1014D_226, LD1014D_226, --, --, --, --, 0.2067, 0.03559
LD1014D_210, LD1014D_210, LD1014D_227_NA, LD1014D_227, --, --, --, --, 0.1435, 0.03206
LD1014D_210, LD1014D_210, LD1014D_228_NA, LD1014D_228, --, --, --, --, 0.2153, 0.0357
LD1014D_210, LD1014D_210, LD1014D_229, LD1014D_229, --, --, --, --, 0.03293, 0.01468
LD1014D_211, LD1014D_211, LD1014D_212, LD1014D_212, --, --, --, --, 0.1172, 0.03078
LD1014D_211, LD1014D_211, LD1014D_213_NA, LD1014D_213, --, --, --, --, 0.01618, 0.01418
LD1014D_211, LD1014D_211, LD1014D_214_NA, LD1014D_214, --, --, --, --, 0.06977, 0.01862
LD1014D_211, LD1014D_211, LD1014D_215, LD1014D_215, --, --, --, --, 0.1326, 0.02799
LD1014D_211, LD1014D_211, LD1014D_216, LD1014D_216, --, --, --, --, 0.3118, 0.05011
LD1014D_211, LD1014D_211, LD1014D_217, LD1014D_217, --, --, --, --, 0.3409, 0.05419
LD1014D_211, LD1014D_211, LD1014D_218_NA, LD1014D_218, --, --, --, --, 0.007587, 0.001614
LD1014D_211, LD1014D_211, LD1014D_219, LD1014D_219, --, --, --, --, 0.1787, 0.03345
LD1014D_211, LD1014D_211, LD1014D_220, LD1014D_220, --, --, --, --, 0.1531, 0.0416
LD1014D_211, LD1014D_211, LD1014D_221, LD1014D_221, --, --, --, --, 0.1648, 0.03299
LD1014D_211, LD1014D_211, LD1014D_222_NA, LD1014D_222, --, --, --, --, 0.07393, 0.02383
LD1014D_211, LD1014D_211, LD1014D_223_NA, LD1014D_223, --, --, --, --, 0.2627, 0.04075
LD1014D_211, LD1014D_211, LD1014D_224, LD1014D_224, --, --, --, --, 0.2549, 0.04144
LD1014D_211, LD1014D_211, LD1014D_225, LD1014D_225, --, --, --, --, 0.2049, 0.03707
LD1014D_211, LD1014D_211, LD1014D_226, LD1014D_226, --, --, --, --, 0.271, 0.04458
LD1014D_211, LD1014D_211, LD1014D_227_NA, LD1014D_227, --, --, --, --, 0.08531, 0.01784
LD1014D_211, LD1014D_211, LD1014D_228_NA, LD1014D_228, --, --, --, --, 0.2798, 0.04358
LD1014D_211, LD1014D_211, LD1014D_229, LD1014D_229, --, --, --, --, 0.1009, 0.02212
