Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
LD1014D_10_NA, LD1014D_10, 1.5, 1.5, -0.4645, 14.03, 2.123, 6.608, NA
LD1014D_10_NA, LD1014D_10, 1.5, 1.833, -0.4413, 15.11, 2.299, 6.571, NA
LD1014D_10_NA, LD1014D_10, 1.5, 2.167, -0.4205, 16.27, 2.623, 6.202, NA
LD1014D_10_NA, LD1014D_10, 1.5, 2.5, -0.4017, 16.74, 2.785, 6.01, NA
LD1014D_11, LD1014D_11, 1.5, 1.5, -1.01, 12.31, 2.659, 4.628, NA
LD1014D_11, LD1014D_11, 1.5, 1.833, -0.9837, 13.27, 2.949, 4.5, NA
LD1014D_11, LD1014D_11, 1.5, 2.167, -0.959, 13.86, 3.269, 4.24, NA
LD1014D_11, LD1014D_11, 1.5, 2.5, -0.9353, 14.21, 3.582, 3.968, NA
LD1014D_12_NA, LD1014D_12, 1.5, 1.5, -0.804, 12.76, 2.569, 4.966, NA
LD1014D_12_NA, LD1014D_12, 1.5, 1.833, -0.7776, 14.27, 2.905, 4.912, NA
LD1014D_12_NA, LD1014D_12, 1.5, 2.167, -0.7538, 14.79, 3.016, 4.903, NA
LD1014D_12_NA, LD1014D_12, 1.5, 2.5, -0.7323, 15.63, 3.314, 4.716, NA
LD1014D_13_NA, LD1014D_13, 1.5, 1.5, -1.158, 11.48, 2.705, 4.243, NA
LD1014D_13_NA, LD1014D_13, 1.5, 1.833, -1.13, 12.36, 3.042, 4.063, NA
LD1014D_13_NA, LD1014D_13, 1.5, 2.167, -1.106, 13.26, 3.262, 4.065, NA
LD1014D_13_NA, LD1014D_13, 1.5, 2.5, -1.08, 13.95, 3.473, 4.017, NA
LD1014D_14_NA, LD1014D_14, 1.5, 1.5, -0.827, 12.68, 2.597, 4.88, NA
LD1014D_14_NA, LD1014D_14, 1.5, 1.833, -0.8037, 13.95, 2.882, 4.839, NA
LD1014D_14_NA, LD1014D_14, 1.5, 2.167, -0.7789, 14.81, 3.147, 4.706, NA
LD1014D_14_NA, LD1014D_14, 1.5, 2.5, -0.7563, 15.38, 3.331, 4.619, NA
LD1014D_15_NA, LD1014D_15, 1.5, 1.5, -0.7932, 12.54, 2.62, 4.788, NA
LD1014D_15_NA, LD1014D_15, 1.5, 1.833, -0.7659, 13.72, 2.913, 4.71, NA
LD1014D_15_NA, LD1014D_15, 1.5, 2.167, -0.7418, 14.39, 3.215, 4.475, NA
LD1014D_15_NA, LD1014D_15, 1.5, 2.5, -0.7197, 15.21, 3.384, 4.496, NA
LD1014D_161, LD1014D_161, 1.5, 1.5, -1.073, 11.47, 2.732, 4.199, NA
LD1014D_161, LD1014D_161, 1.5, 1.833, -1.046, 11.88, 2.797, 4.247, NA
LD1014D_161, LD1014D_161, 1.5, 2.167, -1.019, 12.72, 3.106, 4.094, NA
LD1014D_161, LD1014D_161, 1.5, 2.5, -0.9939, 13.16, 3.31, 3.977, NA
LD1014D_162, LD1014D_162, 1.5, 1.5, -0.942, 11.83, 2.912, 4.062, NA
LD1014D_162, LD1014D_162, 1.5, 1.833, -0.9151, 12.86, 3.146, 4.089, NA
LD1014D_162, LD1014D_162, 1.5, 2.167, -0.8901, 13.46, 3.38, 3.984, NA
