Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Ib (A-RMS), delta-Ib mean subtracted (A-RMS)
MJL21193_1, MJL21193_1, MJL21193_2, MJL21193_2, -20, -3, -2, -0.1, 0.0001416, 6.763e-05
MJL21193_1, MJL21193_1, MJL21193_3, MJL21193_3, -20, -3, -2, -0.1, 0.0001675, 0.0001345
MJL21193_1, MJL21193_1, MJL21193_4, MJL21193_4, -20, -3, -2, -0.1, 0.0001616, 0.0001313
MJL21193_1, MJL21193_1, MJL21193_5, MJL21193_5, -20, -3, -2, -0.1, 7.376e-05, 6.927e-05
MJL21193_2, MJL21193_2, MJL21193_3, MJL21193_3, -20, -3, -2, -0.1, 0.000286, 0.0001785
MJL21193_2, MJL21193_2, MJL21193_4, MJL21193_4, -20, -3, -2, -0.1, 0.0002816, 0.0001798
MJL21193_2, MJL21193_2, MJL21193_5, MJL21193_5, -20, -3, -2, -0.1, 0.0001622, 0.0001291
MJL21193_3, MJL21193_3, MJL21193_4, MJL21193_4, -20, -3, -2, -0.1, 2.676e-05, 2.595e-05
MJL21193_3, MJL21193_3, MJL21193_5, MJL21193_5, -20, -3, -2, -0.1, 0.0001761, 0.0001242
MJL21193_4, MJL21193_4, MJL21193_5, MJL21193_5, -20, -3, -2, -0.1, 0.0001622, 0.0001105
