Filename, Sample, U1 (V), I1 (A), Ib (A), hfe (A/A), go (A/V), rbe (V/A), T (°C)
MJL21193_10, MJL21193_10, -15, -0.5, -0.004005, 101.3, -38.77, -2.612, 50
MJL21193_1, MJL21193_1, -15, -0.5, -0.004041, 114.1, -0.3251, -351, 49.56
MJL21193_2, MJL21193_2, -15, -0.5, -0.003966, 115.8, -26.69, -4.339, 50
MJL21193_3, MJL21193_3, -15, -0.5, -0.004013, 108.6, -30.9, -3.515, 50
MJL21193_4, MJL21193_4, -15, -0.5, -0.003997, 114.9, -36.64, -3.135, 50
MJL21193_5, MJL21193_5, -15, -0.5, -0.003947, 108.3, -23.86, -4.54, 50.06
MJL21193_6, MJL21193_6, -15, -0.5, -0.00401, 112.8, -7.155, -15.77, 50
MJL21193_7, MJL21193_7, -15, -0.5, -0.003975, 112.1, 0.6732, 166.5, 50.06
MJL21193_8, MJL21193_8, -15, -0.5, -0.003939, 114.3, -5.449, -20.98, 50.06
MJL21193_9, MJL21193_9, -15, -0.5, -0.004024, 108.1, -15.38, -7.025, 50.06
