Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
SJEP120R100_1, SJEP120R100_1, SJEP120R100_2, SJEP120R100_2, 0, 16, 0, 2, 0.03512, 0.02935
SJEP120R100_1, SJEP120R100_1, SJEP120R100_3, SJEP120R100_3, 0, 16, 0, 2, 0.1869, 0.0453
SJEP120R100_1, SJEP120R100_1, SJEP120R100_4, SJEP120R100_4, 0, 16, 0, 2, 0.1646, 0.0573
SJEP120R100_1, SJEP120R100_1, SJEP120R100_5, SJEP120R100_5, 0, 16, 0, 2, 0.07856, 0.04595
SJEP120R100_1, SJEP120R100_1, SJEP120R100_6, SJEP120R100_6, 0, 16, 0, 2, 0.08386, 0.0459
SJEP120R100_2, SJEP120R100_2, SJEP120R100_3, SJEP120R100_3, 0, 16, 0, 2, 0.2089, 0.05121
SJEP120R100_2, SJEP120R100_2, SJEP120R100_4, SJEP120R100_4, 0, 16, 0, 2, 0.1903, 0.08098
SJEP120R100_2, SJEP120R100_2, SJEP120R100_5, SJEP120R100_5, 0, 16, 0, 2, 0.1087, 0.0721
SJEP120R100_2, SJEP120R100_2, SJEP120R100_6, SJEP120R100_6, 0, 16, 0, 2, 0.1135, 0.07179
SJEP120R100_3, SJEP120R100_3, SJEP120R100_4, SJEP120R100_4, 0, 16, 0, 2, 0.06333, 0.05972
SJEP120R100_3, SJEP120R100_3, SJEP120R100_5, SJEP120R100_5, 0, 16, 0, 2, 0.1277, 0.06013
SJEP120R100_3, SJEP120R100_3, SJEP120R100_6, SJEP120R100_6, 0, 16, 0, 2, 0.121, 0.05825
SJEP120R100_4, SJEP120R100_4, SJEP120R100_5, SJEP120R100_5, 0, 16, 0, 2, 0.09278, 0.02353
SJEP120R100_4, SJEP120R100_4, SJEP120R100_6, SJEP120R100_6, 0, 16, 0, 2, 0.08652, 0.02308
SJEP120R100_5, SJEP120R100_5, SJEP120R100_6, SJEP120R100_6, 0, 16, 0, 2, 0.007287, 0.003642
