Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
THF51_1, THF51_1, THF51_10, THF51_10, 5, 45, 0.2, 3.5, 0.2583, 0.0887
THF51_1, THF51_1, THF51_11, THF51_11, 5, 45, 0.2, 3.5, 0.2437, 0.04252
THF51_1, THF51_1, THF51_12, THF51_12, 5, 45, 0.2, 3.5, 0.131, 0.01851
THF51_1, THF51_1, THF51_13, THF51_13, 5, 45, 0.2, 3.5, 0.7289, 0.1335
THF51_1, THF51_1, THF51_14, THF51_14, 5, 45, 0.2, 3.5, 0.6028, 0.1071
THF51_1, THF51_1, THF51_15, THF51_15, 5, 45, 0.2, 3.5, 0.3828, 0.07904
THF51_1, THF51_1, THF51_16, THF51_16, 5, 45, 0.2, 3.5, 0.03925, 0.0372
THF51_1, THF51_1, THF51_17, THF51_17, 5, 45, 0.2, 3.5, 0.3529, 0.09569
THF51_1, THF51_1, THF51_18, THF51_18, 5, 45, 0.2, 3.5, 0.1854, 0.04909
THF51_1, THF51_1, THF51_19, THF51_19, 5, 45, 0.2, 3.5, 0.2592, 0.06321
THF51_1, THF51_1, THF51_2, THF51_2, 5, 45, 0.2, 3.5, 0.05624, 0.01159
THF51_1, THF51_1, THF51_20, THF51_20, 5, 45, 0.2, 3.5, 0.3132, 0.08476
THF51_1, THF51_1, THF51_21, THF51_21, 5, 45, 0.2, 3.5, 0.1478, 0.05251
THF51_1, THF51_1, THF51_22, THF51_22, 5, 45, 0.2, 3.5, 0.2165, 0.04205
THF51_1, THF51_1, THF51_23, THF51_23, 5, 45, 0.2, 3.5, 0.1326, 0.03788
THF51_1, THF51_1, THF51_24, THF51_24, 5, 45, 0.2, 3.5, 0.1602, 0.04827
THF51_1, THF51_1, THF51_25, THF51_25, 5, 45, 0.2, 3.5, 0.08448, 0.03166
THF51_1, THF51_1, THF51_26, THF_26, 5, 45, 0.2, 3.5, 0.1319, 0.04469
THF51_1, THF51_1, THF51_27, THF_27, 5, 45, 0.2, 3.5, 0.06896, 0.0457
THF51_1, THF51_1, THF51_28, THF_28, 5, 45, 0.2, 3.5, 0.05596, 0.03357
THF51_1, THF51_1, THF51_3, THF51_3, 5, 45, 0.2, 3.5, 0.597, 0.1044
THF51_1, THF51_1, THF51_4, THF51_4, 5, 45, 0.2, 3.5, 0.3698, 0.07824
THF51_1, THF51_1, THF51_5, THF51_5, 5, 45, 0.2, 3.5, 0.03124, 0.01766
THF51_1, THF51_1, THF51_6, THF51_6, 5, 45, 0.2, 3.5, 0.3818, 0.06714
THF51_1, THF51_1, THF51_7, THF51_7, 5, 45, 0.2, 3.5, 0.4314, 0.04634
THF51_1, THF51_1, THF51_8, THF51_8, 5, 45, 0.2, 3.5, 0.6193, 0.1157
THF51_1, THF51_1, THF51_9, THF51_9, 5, 45, 0.2, 3.5, 0.3315, 0.1261
THF51_10, THF51_10, THF51_11, THF51_11, 5, 45, 0.2, 3.5, 0.0603, 0.06025
THF51_10, THF51_10, THF51_12, THF51_12, 5, 45, 0.2, 3.5, 0.1365, 0.07746
THF51_10, THF51_10, THF51_13, THF51_13, 5, 45, 0.2, 3.5, 0.4765, 0.04712
THF51_10, THF51_10, THF51_14, THF51_14, 5, 45, 0.2, 3.5, 0.3516, 0.02523
THF51_10, THF51_10, THF51_15, THF51_15, 5, 45, 0.2, 3.5, 0.1349, 0.02739
THF51_10, THF51_10, THF51_16, THF51_16, 5, 45, 0.2, 3.5, 0.2419, 0.07744
THF51_10, THF51_10, THF51_17, THF51_17, 5, 45, 0.2, 3.5, 0.609, 0.1776
THF51_10, THF51_10, THF51_18, THF51_18, 5, 45, 0.2, 3.5, 0.4396, 0.127
THF51_10, THF51_10, THF51_19, THF51_19, 5, 45, 0.2, 3.5, 0.5148, 0.1476
THF51_10, THF51_10, THF51_2, THF51_2, 5, 45, 0.2, 3.5, 0.2096, 0.09425
THF51_10, THF51_10, THF51_20, THF51_20, 5, 45, 0.2, 3.5, 0.5684, 0.1645
THF51_10, THF51_10, THF51_21, THF51_21, 5, 45, 0.2, 3.5, 0.1406, 0.09464
THF51_10, THF51_10, THF51_22, THF51_22, 5, 45, 0.2, 3.5, 0.09153, 0.08677
THF51_10, THF51_10, THF51_23, THF51_23, 5, 45, 0.2, 3.5, 0.1408, 0.08153
THF51_10, THF51_10, THF51_24, THF51_24, 5, 45, 0.2, 3.5, 0.14, 0.1079
THF51_10, THF51_10, THF51_25, THF51_25, 5, 45, 0.2, 3.5, 0.1778, 0.06897
THF51_10, THF51_10, THF51_26, THF_26, 5, 45, 0.2, 3.5, 0.148, 0.08938
THF51_10, THF51_10, THF51_27, THF_27, 5, 45, 0.2, 3.5, 0.2049, 0.07678
THF51_10, THF51_10, THF51_28, THF_28, 5, 45, 0.2, 3.5, 0.2174, 0.09032
THF51_10, THF51_10, THF51_3, THF51_3, 5, 45, 0.2, 3.5, 0.3467, 0.02761
THF51_10, THF51_10, THF51_4, THF51_4, 5, 45, 0.2, 3.5, 0.1224, 0.02933
THF51_10, THF51_10, THF51_5, THF51_5, 5, 45, 0.2, 3.5, 0.2322, 0.08393
THF51_10, THF51_10, THF51_6, THF51_6, 5, 45, 0.2, 3.5, 0.1357, 0.02535
THF51_10, THF51_10, THF51_7, THF51_7, 5, 45, 0.2, 3.5, 0.194, 0.05399
THF51_10, THF51_10, THF51_8, THF51_8, 5, 45, 0.2, 3.5, 0.3672, 0.03042
THF51_10, THF51_10, THF51_9, THF51_9, 5, 45, 0.2, 3.5, 0.07621, 0.0402
