Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
THF51_10, THF51_10, 25, 1.8, -3.296, 2.405, 0.153, 15.71, 50.25
THF51_11, THF51_11, 25, 1.8, -3.313, 2.42, 0.1612, 15.01, 50.31
THF51_12, THF51_12, 25, 1.8, -3.41, 2.302, 0.1525, 15.09, 50.31
THF51_13, THF51_13, 25, 1.8, -2.809, 2.527, 0.132, 19.14, 50.31
THF51_14, THF51_14, 25, 1.8, -2.934, 2.458, 0.1407, 17.47, 50.31
THF51_15, THF51_15, 25, 1.8, -3.157, 2.465, 0.1449, 17.01, 50.31
THF51_16, THF51_16, 25, 1.8, -3.553, 2.441, 0.1594, 15.32, 50.31
THF51_17, THF51_CURVES_17, 25, 1.8, -3.895, 2.334, 0.1575, 14.82, 50.06
THF51_18, THF51_CURVES_18, 25, 1.8, -3.742, 2.312, 0.1373, 16.84, 50.06
THF51_19, THF51_CURVES_19, 25, 1.8, -3.81, 2.246, 0.1711, 13.13, 50.06
THF51_1, THF51_1, 25, 1.8, -3.542, 2.269, 0.1573, 14.42, 49.94
THF51_20, THF51_CURVES_20, 25, 1.8, -3.872, 2.34, 0.1669, 14.02, 50.06
THF51_21, THF51_CURVES_21, 25, 1.8, -3.404, 2.495, 0.1622, 15.38, 50.19
THF51_22, THF51_CURVES_22, 25, 1.8, -3.325, 2.408, 0.1683, 14.31, 50.19
THF51_23, THF51_CURVES_23, 25, 1.8, -3.416, 2.423, 0.1697, 14.28, 50.06
THF51_24, THF51_CURVES_24, 25, 1.8, -3.392, 2.438, 0.1677, 14.53, 50
THF51_25, THF51_CURVES_25, 25, 1.8, -3.452, 2.359, 0.1513, 15.6, 50.06
THF51_26, THF_CURVES_26, 25, 1.8, -3.417, 2.446, 0.1672, 14.63, 50.06
THF51_27, THF_CURVES_27, 25, 1.8, -3.505, 2.469, 0.1593, 15.5, 50
THF51_28, THF_CURVES_28, 25, 1.8, -3.503, 2.396, 0.1667, 14.37, 49.94
THF51_2, THF51_2, 25, 1.8, -3.489, 2.279, 0.151, 15.09, 50.25
THF51_3, THF51_3, 25, 1.8, -2.934, 2.481, 0.1494, 16.61, 50.19
THF51_4, THF51_4, 25, 1.8, -3.172, 2.471, 0.149, 16.58, 50.06
THF51_5, THF51_5, 25, 1.8, -3.526, 2.33, 0.1548, 15.06, 50.19
THF51_6, THF51_6, 25, 1.8, -3.165, 2.403, 0.1405, 17.1, 50.19
THF51_7, THF51_7, 25, 1.8, -3.107, 2.43, 0.1497, 16.24, 50.12
THF51_8, THF51_8, 25, 1.8, -2.922, 2.466, 0.1416, 17.41, 50.19
THF51_9, THF51_9, 25, 1.8, -3.229, 2.476, 0.1309, 18.92, 50.19
